Riding	Candidate	Gender	Residence	Occupation	Votes	Rank
Cape Breton—Canso	Mark MacNeill	M	Inverness	Government and Business Policy Advisor	7,660	3rd
Central Nova	Mary Louise Lorefice	F	Antigonish	Retired educator	7,659	3rd
Cumberland—Colchester—Musquodoboit Valley	Karen Olsson	F	North River	Stay-at-home Mother	4,874	2nd
Dartmouth—Cole Harbour	Brad Pye	M	Ottawa, ON	Senior Political Party Program Officer	12,793	2nd
Halifax	Megan Leslie	F	Halifax	Community Legal Worker	19,252	1st
Halifax West	Tamara Lorincz	F	Halifax	Director of Nova Scotia Environment Network	12,201	2nd
Kings—Hants	Carol E. Harris	F	Wolfville	University Professor	8,291	3rd
Sackville—Eastern Shore	Peter Stoffer	M	Windsor Junction	Parliamentarian	24,279	1st
South Shore—St. Margaret's	Gordon S. Earle	M	Upper Tantallon	Retired Public Servant	13,456	2nd
Sydney—Victoria	Wayne McKay	M	Sydney	Teacher	8,559	2nd
West Nova	George Barron	M	Bear River	Paramedic	7,097	3rd
