Date	Series	Circuit	City / State	Winner	Team
4 - 6 Mar	QANTAS V8 Supercars GP 100	Albert Park street circuit	Melbourne , Victoria	Mark Skaife	Holden Racing Team
17 - 20 Mar	HVS Round 1	Adelaide Street Circuit	Adelaide , South Australia	Dean Canto	Dick Johnson Racing
17 - 20 Mar	Clipsal 500 VCS Round 1	Adelaide Street Circuit	Adelaide , South Australia	Marcos Ambrose	Stone Brothers Racing
15–17 April	PlaceMakers V8 International VCS Round 2	Pukekohe Park Raceway	Pukekohe , New Zealand	Greg Murphy	Paul Weel Racing
6–8 May	VB 400 VCS Round 3	Barbagallo Raceway	Perth , Western Australia	Steven Richards	Castrol Perkins Racing
15 May	HVS Round 2	Wakefield Park	Goulburn , New South Wales	Adam Macrow	Howard Racing
27–29 May	VCS Round 4	Eastern Creek Raceway	Sydney , New South Wales	Craig Lowndes	Triple Eight Race Engineering
10 - 12 Jun	VCS Round 5	Shanghai International Circuit	Shanghai , China	Todd Kelly	Holden Racing Team
1 - 3 Jul	Skycity Triple Crown VCS Round 6	Hidden Valley Raceway	Darwin , Northern Territory	Todd Kelly	Holden Racing Team
10 Jul	HVS Round 3	Eastern Creek Raceway	Sydney , New South Wales	Dean Canto	Dick Johnson Racing
22 - 24 Jul	HVS Round 4	Queensland Raceway	Ipswich , Queensland	Dean Canto	Dick Johnson Racing
22 - 24 Jul	VCS Round 7	Queensland Raceway	Ipswich , Queensland	Craig Lowndes	Triple Eight Race Engineering
14 - 15 Aug	VCS Round 8	Oran Park Raceway	Sydney , New South Wales	Russell Ingall	Stone Brothers Racing
21 Aug	HVS Round 5	Mallala Motor Sport Park	Mallala , South Australia	Dean Canto	Dick Johnson Racing
9 - 11 Sep	Betta Electrical 500 VCS Round 9	Sandown Raceway	Melbourne , Victoria	Craig Lowndes Yvan Muller	Triple Eight Race Engineering
6 - 9 Oct	HVS Round 6	Mount Panorama Circuit	Bathurst , New South Wales	Dean Canto	Dick Johnson Racing
6 - 9 Oct	Supercheap Auto 1000 VCS Round 10	Mount Panorama Circuit	Bathurst , New South Wales	Mark Skaife Todd Kelly	Holden Racing Team
20 - 23 Oct	Gilette V8 Supercar Challenge VCS Round 11	Surfers Paradise Street Circuit	Surfers Paradise , Queensland	Craig Lowndes	Triple Eight Race Engineering
12 - 13 Nov	Ferodo Triple Challenge VCS Round 12	Symmons Plains Raceway	Launceston , Tasmania	Garth Tander	HSV Dealer Team
25 - 27 Nov	HVS Round 7	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	Adam Macrow	Howard Racing
25 - 27 Nov	BigPond Grand Finale VCS Round 13	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	Marcos Ambrose	Stone Brothers Racing
