Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Runner-up	2 October 2005	Podgorica , Serbia & Montenegro	Clay	Neda Kozić	Ani Mijačika Dijana Stojics	6–1 3–6 4–6
Runner-up	11 May 2007	Monzón , Spain	Hard	Iryna Kuryanovich	Estrella Cabeza-Candela María Emilia Salerni	2–6 1–6
Winner	25 August 2007	Moscow, Russia	Clay	Maria Kondratieva	Nina Bratchikova Sophie Lefèvre	6–2 6–1
Runner-up	10 November 2007	Minsk , Belarus	Hard	Ekaterina Ivanova	Alla Kudryavtseva Anastasia Pavlyuchenkova	0–6 2–6
Winner	10 April 2009	Monzón , Spain	Hard	Yi Chen	Alberta Brianti Margalita Chakhnashvili	2–6 6–4 [10–8]
Runner-up	11 July 2009	La Coruña , Spain	Hard	Ksenia Milevskaya	María Irigoyen Florencia Molinero	2–6 4–6
Runner-up	14 November 2009	Minsk , Belarus	Hard	Evgeniya Rodina	Lyudmyla Kichenok Nadiya Kichenok	3–6 6–7(7)
Runner-up	25 September 2010	Shrewsbury , Great Britain	Hard	Claire Feuerstein	Vitalia Diatchenko Irena Pavlovic	4–6 6–4 [6–10]
Runner-up	2 July 2011	Cuneo , Italia	Clay	Eva Birnerová	Mandy Minella Stefanie Vögele	3–6 2–6
Runner-up	6 February 2012	Midland , USA	Hard (I)	Stéphanie Foretz Gacon	Andrea Hlaváčková Lucie Hradecká	6(4)–7 2–6
Winner	14 May 2012	Saint-Gaudens , France	Clay	Irina Khromacheva	Naomi Broady Julia Glushko	6–2 6–0
