Race	Circuit	Date	Pole position	Fastest lap	Winning driver	Constructor	Tyre	Report
South African Grand Prix	Kyalami	6 March	Jackie Stewart	Mario Andretti	Mario Andretti	Ferrari	F	Report
Spanish Grand Prix	Montjuïc	18 April	Jacky Ickx	Jacky Ickx	Jackie Stewart	Tyrrell - Ford	G	Report
Monaco Grand Prix	Monaco	23 May	Jackie Stewart	Jackie Stewart	Jackie Stewart	Tyrrell - Ford	G	Report
Dutch Grand Prix	Zandvoort	20 June	Jacky Ickx	Jacky Ickx	Jacky Ickx	Ferrari	F	Report
French Grand Prix	Paul Ricard	4 July	Jackie Stewart	Jackie Stewart	Jackie Stewart	Tyrrell - Ford	G	Report
British Grand Prix	Silverstone	17 July	Clay Regazzoni	Jackie Stewart	Jackie Stewart	Tyrrell - Ford	G	Report
German Grand Prix	Nürburgring	1 August	Jackie Stewart	François Cevert	Jackie Stewart	Tyrrell - Ford	G	Report
Austrian Grand Prix	Österreichring	15 August	Jo Siffert	Jo Siffert	Jo Siffert	BRM	F	Report
Italian Grand Prix	Monza	5 September	Chris Amon	Henri Pescarolo	Peter Gethin	BRM	F	Report
Canadian Grand Prix	Mosport Park	19 September	Jackie Stewart	Denny Hulme	Jackie Stewart	Tyrrell - Ford	G	Report
United States Grand Prix	Watkins Glen	3 October	Jackie Stewart	Jacky Ickx	François Cevert	Tyrrell - Ford	G	Report
