Rank	Name	Height ft (m)	Floors	Year
1	100 North Tampa	579 (176)	42	1992
2	Bank of America Plaza	577 (176)	42	1986
3	One Tampa City Center	537 (164)	38	1981
4	SunTrust Financial Centre	525 (160)	36	1992
5	Element	460 (140)	34	2009
6	Park Tower	458 (140)	36	1972
7	Rivergate Tower	454 (138)	32	1988
8=	Hillsborough County Center	375 (114)	28	1993
8=	Sam Gibbons Federal Courthouse	375 (114)	17	1997
9	SkyPoint	361 (110)	32	2007
10=	Towers of Channelside East	327 (100)	30	2007
10=	Towers of Channelside West	327 (100)	30	2007
12	Tampa Marriott Waterside	326 (99)	27	2000
13	Wells Fargo Center	311 (95)	22	1985
14	Franklin Exchange Building	280 (85)	22	1966
15	Fifth Third Center	279 (85)	19	1981
16	The Alagon on Bayshore	273 (83)	23	2006
17	The Stovall	255 (78)	22	2001
18	One Mack-Cali Center	252 (77)	21	1983
