Date	Visitor	Score	Home	Decision	Attendance	Record
December 1	Atlanta	4 – 0	NY Islanders	Lehtonen	15,355	12–13–0
December 2	Atlanta	2 – 3	New Jersey	Hedberg	14,978	12–13–1
December 5	NY Islanders	3 – 4	Atlanta	Lehtonen	14,018	13–13–1
December 7	NY Rangers	2 – 4	Atlanta	Hedberg	18,204	14–13–1
December 8	Atlanta	3 – 6	Washington	Lehtonen	14,014	14–14–1
December 12	Boston	5 – 3	Atlanta	Hedberg	14,265	14–15–1
December 14	Toronto	4 – 0	Atlanta	Lehtonen	16,424	14–16–1
December 15	Atlanta	3 – 7	Ottawa	Hedberg	20,082	14–17–1
December 18	Tampa Bay	2 – 6	Atlanta	Lehtonen	14,060	15–17–1
December 20	Ottawa	2 – 3	Atlanta	Lehtonen	14,085	16–17–1
December 22	Montreal	2 – 3	Atlanta	Lehtonen	17,153	17–17–1
December 23	Atlanta	3 – 2	St. Louis	Lehtonen	17,731	18–17–1
December 26	Atlanta	0 – 2	Columbus	Lehtonen	15,726	18–18–1
December 27	Florida	5 – 3	Atlanta	Lehtonen	16,080	18–19–1
December 29	Boston	0 – 5	Atlanta	Lehtonen	18,545	19–19–1
December 31	Atlanta	2 – 5	Boston	Lehtonen	17,565	19–20–1
