Driver	Constructor	Laps	Time/Retired	Grid
Jackie Stewart	Tyrrell - Ford	14	1:42:03.0	1
François Cevert	Tyrrell - Ford	14	+ 1.6	3
Jacky Ickx	McLaren - Ford	14	+ 41.2	4
Carlos Pace	Surtees - Ford	14	+ 53.8	11
Wilson Fittipaldi	Brabham - Ford	14	+ 1:19.9	13
Emerson Fittipaldi	Lotus - Ford	14	+ 1:24.3	14
Jochen Mass	Surtees - Ford	14	+ 1:25.2	15
Jackie Oliver	Shadow - Ford	14	+ 1:25.7	17
Peter Revson	McLaren - Ford	14	+ 2:11.8	7
Henri Pescarolo	Iso Marlboro - Ford	14	+ 2:22.5	12
Rolf Stommelen	Brabham - Ford	14	+ 3:27.3	16
Denny Hulme	McLaren - Ford	14	+ 3:38.7	8
Graham Hill	Shadow - Ford	14	+ 3:49.0	20
Mike Hailwood	Surtees - Ford	13	+ 1 Lap	18
David Purley	March - Ford	13	+ 1 Lap	22
Mike Beuttler	March - Ford	13	+ 1 Lap	19
Carlos Reutemann	Brabham - Ford	7	Engine	6
Clay Regazzoni	BRM	7	Engine	10
George Follmer	Shadow - Ford	5	Accident	21
Jean-Pierre Beltoise	BRM	4	Gearbox	9
Niki Lauda	BRM	1	Accident	5
Ronnie Peterson	Lotus - Ford	0	Ignition	2
