Rank	WS Points	Name	Country	09-10 I/O best	09-10 GP/JGP best	09-10 GP/JGP 2nd	09-10 OI best	09-10 OI 2nd	08-09 I/O best	08-09 GP/JGP best	08-09 GP/JGP 2nd	08-09 OI best	08-09 OI 2nd
1	3877	Meryl Davis / Charlie White	USA	1080	800	400	250	0	613	454	280	0	0
2	3085	Sinead Kerr / John Kerr	United Kingdom	787	583	360	250	0	476	227	227	175	0
3	3000	Tessa Virtue / Scott Moir	Canada	1200	720	400	0	0	680	0	0	0	0
4	2935	Tanith Belbin / Benjamin Agosto	USA	875	400	400	0	0	756	252	252	0	0
5	2913	Nathalie Péchalat / Fabian Bourzat	France	875	648	360	0	0	551	252	227	0	0
6	2596	Oksana Domnina / Maxim Shabalin	Russia	972	0	0	0	0	840	504	280	0	0
7	2513	Federica Faiella / Massimo Scali	Italy	972	324	0	0	0	529	408	280	0	0
8	2497	Alexandra Zaretsky / Roman Zaretsky	Israel	709	324	262	250	225	237	183	149	158	0
9	2427	Jana Khokhlova / Sergei Novitski	Russia	680	360	292	0	0	588	280	227	0	0
10	2318	Vanessa Crone / Paul Poirier	Canada	638	472	324	0	0	428	252	204	0	0
11	2189	Maia Shibutani / Alex Shibutani	USA	521	486	250	0	0	451	306	175	0	0
12	2175	Anna Cappellini / Luca Lanotte	Italy	496	525	360	0	0	386	204	204	0	0
13	2153	Emily Samuelson / Evan Bates	USA	517	292	262	0	0	476	227	204	175	0
14	2100	Kaitlyn Weaver / Andrew Poje	Canada	840	324	236	0	0	386	165	149	0	0
15	2074	Madison Chock / Greg Zuerlein	USA	551	236	191	0	0	501	420	175	0	0
16	2025	Madison Hubbell / Keiffer Hubbell	USA	680	236	191	0	0	365	378	175	0	0
17	1892	Kharis Ralph / Asher Hill	Canada	496	437	225	0	0	328	248	158	0	0
18	1686	Ksenia Monko / Kirill Khaliavin	Russia	579	600	250	0	0	0	142	115	0	0
19	1563	Xintong Huang / Xun Zheng	China	612	262	213	164	0	312	0	0	0	0
20	1559	Anna Zadorozhniuk / Sergei Verbillo	Ukraine	402	292	236	0	0	312	183	134	0	0
21	1527	Ekaterina Bobrova / Dmitri Soloviev	Russia	574	292	292	0	0	0	204	165	0	0
22	1520	Ekaterina Rubleva / Ivan Shefer	Russia	339	324	262	0	0	281	165	149	0	0
23	1505	Elena Ilinykh / Nikita Katsalapov	Russia	715	540	250	0	0	0	0	0	0	0
24	1464	Lorenza Alessandrini / Simone Vaturi	Italy	469	319	225	0	0	216	142	93	0	0
25	1338	Kristina Gorshkova / Vitali Butikov	Russia	0	213	213	225	0	0	204	183	158	142
26	1252	Carolina Hermann / Daniel Hermann	Germany	131	213	0	225	182	185	0	0	158	158
27	1193	Lucie Myslivečková / Matěj Novák	Czech Republic	247	213	0	225	0	239	142	127	0	0
28	1066	Ekaterina Pushkash / Jonathan Guerreiro	Russia	422	394	250	0	0	0	0	0	0	0
29	1045	Marina Antipova / Artem Kudashev	Russia	0	287	225	0	0	174	201	158	0	0
30	990	Alexandra Paul / Mitchell Islam	Canada	644	182	164	0	0	0	0	0	0	0
31	969	Anastasia Platonova / Alexander Grachev	Russia	0	262	0	225	0	0	149	0	175	158
32	965	Nóra Hoffmann / Maxim Zavozin	Hungary	465	0	0	250	250	0	0	0	0	0
33	959	Cathy Reed / Chris Reed	Japan	275	213	0	164	0	173	134	0	0	0
34	957	Rachel Tibbetts / Collin Brubaker	USA	380	225	133	0	0	0	115	104	0	0
35	947	Allie Hann-McCurdy / Michael Coreno	Canada	756	191	0	0	0	0	0	0	0	0
36	925	Kamila Hájková / David Vincour	Czech Republic	146	0	0	203	182	109	0	0	158	127
37	877	Pernelle Carron / Lloyd Jones	France	377	0	0	250	250	0	0	0	0	0
38	837	Alla Beknazarova / Vladimir Zuev	Ukraine	293	0	0	203	0	166	0	0	175	0
39	817	Xiaoyang Yu / Chen Wang	China	402	0	0	0	0	281	134	0	0	0
40	799	Isabella Cannuscio / Ian Lorello	USA	0	354	203	0	0	0	127	115	0	0
41	743	Christina Chitwood / Mark Hanretty	United Kingdom	118	0	0	203	182	98	0	0	142	0
42	706	Xueting Guan / Meng Wang	China	362	120	97	0	0	127	0	0	0	0
43	705	Caitlin Mallory / Kristjan Rand	Estonia	237	191	0	0	0	150	0	0	127	0
44	686	Zoé Blanc / Pierre-Loup Bouquet	France	214	0	0	182	164	126	0	0	0	0
45	643	Ekaterina Riazanova / Ilia Tkachenko	Russia	0	236	0	225	182	0	0	0	0	0
46	628	Christina Beier / William Beier	Germany	200	0	0	225	203	0	0	0	0	0
47	595	Stefanie Frohberg / Tim Giesen	Germany	249	182	164	0	0	0	0	0	0	0
48	584	Maria Borounov / Evgeni Borounov	Australia	264	0	0	0	0	205	0	0	115	0
49	563	Dora Turoczi / Balazs Major	Hungary	224	97	97	0	0	61	84	0	0	0
