Barangay	Population (2010)	Economic Class	Land Area (In sqm.)	Punong Barangay (Term 2010-2013)
Aggasian	3436	Rural	264	Noli B. Bolar
Alibagu	6524	Urban	7214	Alfred J. Alluad
Alinguigan 1st	1796	Rural	459	Elpidio N. Manaligod
Alinguigan 2nd	3050	Rural	7015	Antonio B. Gangan
Alinguigan 3rd	1181	Rural	1765	Felipe B. Manaligod
Arusip	786	Rural	209	Fernando F. Domingo
Baculud	4348	Urban	3214	Remigio D. Balisi
Bagong Silang	542	Rural	258	Herson W. Tolentino
Bagumbayan	2274	Urban	4317	Danilo M. Toribio
Baligatan	2016	Urban	6815	Roger B. Ramos
Ballacong	763	Rural	135	Roberto S. Bernardo
Bangag	1221	Rural	112	Sofronio F. Laggui
Batong-Labang	2259	Rural	135	Florante E. Baysa
Bigao	1387	Rural	225	Daniel V. Cristobal
Cabannungan 1st	749	Rural	715	Joefry M. Tabug
Cabannungan 2nd	1486	Rural	715	Joey L. Ramos
Cabeseria 2 (Dappat)	1115	Rural	135	Reynaldo C. Edrada
Cabeseria 3 (San Fernando)	785	Rural	135	Leandro P. Castillo
Cabeseria 4 (San Manuel)	545	Rural	135	Joseph A. Mata
Cabeseria 5 (Baribad)	808	Rural	135	Precila M. Domingo
Cabeseria 6 & 24 (Villa Marcos)	1166	Rural	135	Virgilio R. Aunzo
Cabeseria 7 (Nangalisan)	802	Rural	215	Eligio B. Salvador
Cabeseria 8 (Sta. Maria)	1159	Rural	135	Felix P. Maltu
Cabeseria 9 & 11 (Capogotan)	1464	Rural	235	Tito B. Curampez
Cabeseria 10 (Lupigui)	1751	Rural	235	Charlito C. Servilla
Cabeseria 14 & 16 (Casilagan)	2303	Rural	182	Franklin G. Cortez
Cabeseria 17 & 21 (San Rafael)	1188	Rural	235	Robinson V. Ilayat
Cabeseria 19 (Villa Suerte)	826	Rural	135	Maximiano N. Benedicto
Cabeseria 22 (Sablang)	875	Rural	225	Bernard G. Villanueva
Cabeseria 23 (San Francisco)	887	Rural	135	Antony F. Bernabe
Cabeseria 25 (Sta. Lucia)	788	Rural	112	Marcos J. Agcaoili
Cabeseria 27 (Abuan)	857	Rural	165	Domingo B. Quitola
Cadu	576	Rural	112	Leopoldo A. Ancheta
Calamagui 1st	3450	Urban	290	Hilario Edmund V. Birung
Calamagui 2nd	2944	Urban	5315	Alex F. Agor
Carikkikan Norte	424	Rural	235	Eduardo B. Borillo
Carikkikan Sur	170	Rural	235	Arnold G. Apalla
Camunatan	2771	Rural	9415	Samuel G. Mamuri
Capellan	2771	Rural	210	Edilberto G. Delos Santos
Capo	836	Rural	235	Carlito E. Esteban
Centro-San Antonio	3739	Rural	290	Dante D. Cayapan
Centro Poblacion	663	Urban	8315	Eufacio Paguirigan
Fugu	1557	Rural	245	Rosemarie G. Apolonio
Fuyo	929	Rural	825	Santos C. Cabanilla III
Gayong-gayong Norte	721	Rural	245	Francisco R. Cristobal
Gayong-gayong Sur	1006	Rural	245	Danilo R. Macugay
Guinatan	1654	Urban	9015	Mario Bong T. Cabildo
Imelda Bliss Village	5130	Urban	815	Cecilio G. Jacinto
Lullutan	1665	Rural	715	Esmeraldo M. Malana
Malalam	1697	Rural	11015	Melchor B. Asuncion
Malasin (Angeles)	1058	Rural	112	Francisco R. Justo
Manaring	1868	Rural	5815	Bernardo C. Bulauan
Mangcuram	820	Rural	1215	Roldan P. Lodivico
Marana 1st	1408	Urban	9515	Gregorio S. Ballesteros
Marana 2nd	571	Rural	2230	Juanito A. Prudencio
Marana 3rd	650	Urban	10215	Rowena M. Gomez
Minabang	1403	Rural	215	Jaime T. Santos
Morado	829	Rural	225	Teresa A. Gangan
Naguilian Norte	2604	Rural	765	Francisco A. Cascue
Naguilian Sur	1103	Rural	765	Ferdinand C. Salvador
Namnama	1532	Rural	235	Roldan P. Simon
Nanaguan	482	Rural	235	Milagros T. Fabros
Osmeña (Sinippil)	2762	Urban	7815	Manolo B. Acosta
Paliueg	1380	Rural	135	Nelson B. Layugan
Pasa	845	Rural	125	Rogelio G. Aquino
Pilar	794	Rural	125	Ferdinand T. Tabliago
Quimalabasa	315	Rural	215	Rogelio S. Agamata
Rang-ayan (Bintacan)	1266	Rural	235	Juanito V. Gonzales
Rugao	1067	Rural	11315	Diosdado M. Bermudez
Salindingan	1119	Rural	175	Danny T. Adorable
San Andres (Angarilla)	966	Rural	1862	Venturito C. Marayag
San Felipe	991	Rural	8815	Ferdinand P. Bielgo
San Ignacio (Canapi)	2496	Rural	192	Artemoio M. Baymosa
San Isidro	1312	Rural	9815	John C. Almazan
San Juan	1669	Rural	5515	Rodolfo M. Bermudez
San Lorenzo	1043	Rural	235	Agustin C. Agamata
San Pablo	322	Rural	235	Eugene S. Resureccion
San Rodrigo	1105	Rural	235	Benito G. Bernardez
San Vicente	2509	Urban	8515	Victor C. Somera
Sta. Barbara	1357	Urban	4615	Raymund A. Gangan
Sta. Catalina	880	Rural	390	Jimmy C. Peralta
Sta. Isabel Norte	2203	Rural	190	Franklin P. Bolibol
Sta. Isabel Sur	4331	Rural	190	Joseph D. Uy
Sta. Victoria	1265	Rural	135	Jose M. Ido
Sto. Tomas	884	Rural	190	Randyson R. Castillo
Sifu	1317	Rural	135	Ismael G. Jimenez
Sindon Bayabo	2010	Rural	135	Carlina R. Gabriel
Sindon Maride	635	Rural	135	George A. De Guzman
Sipay	517	Rural	112	Charles C. Cabanilla
Tangcul	1120	Rural	290	Fernando C. Cabangan
