Name	Country	Year	Structure Height [m]	Structure Volume [10 6 m 3 ]	Reservoir Volume [10 9 m 3 ]	Type
Syncrude Tailings Dam Mildred MLSB	Canada	1995	88	540/720	0.35	TE
Tarbela Dam	Pakistan	1976	143	106 /152	13.7	TE/ER
Syncrude Tailings Dam Mildred SWSS	Canada	2010	40-50	119	0.25	TE
Fort Peck Dam	United States	1940	76.4	96	23	TE
Atatürk Dam	Turkey	1990	166	84.5	48.7	TE/ER
Flevoland Dyke	Netherlands	1968	13	78	0	TE/ER
Oahe Dam	United States	1963	75	70.3	29	TE/ER
Gardiner Dam	Canada	1967	64	65.4	9.4	TE
Mangla Dam	Pakistan	1967	138	65.4	7.25	TE or TE/ER
Oroville Dam	United States	1968	230	59.6	4.36	TE/ER
San Luis Dam (B F Sisk Dam)	United States	1967	93	59.6	2.52	TE
Nurek Dam	Tajikistan	1980	300	54	10.5	TE
Samara Dam ( Kuybyshev Reservoir )	Russia	1955	52	54	57.3	TE or ER
Garrison Dam ( Lake Sakakawea )	United States	1954	64	50.8	29	TE
Cochiti Dam	United States	1975	76.5	50.2	0.73	TE
Aswan Dam	Egypt	1970	111	44.3	157	TE/ER
W. A. C. Bennett Dam ( Williston Lake )	Canada	1968	186	43.7	7.4	TE
ASARCO Mission Mine Tailings Dam	United States	1973	30	40.1	0	ER
Fort Randall Dam ( Lake Francis Case )	United States	1953	50.3	38.2	6.7	TE/ER
Afsluitdijk	Netherlands	1932	13	36.5	5.5	TE/ER
San Roque Dam	Philippines	2003	200/210	35	0.835	TE or ER
