Date	Venue	Score	Result	Competition
17 November 1982	Gerhard Hanappi Stadium , Vienna	1–0	4–0	Euro 1984 qualifier
7 May 1985	Liebenau Stadium , Graz	2–0	4–0	1986 World Cup qualifier
26 March 1986	Stadio Friuli , Udine	1–0	1–2	Friendly
27 August 1986	Tivoli Neu , Innsbruck	1–0	1–1	Friendly
15 October 1986	Liebenau Stadium, Graz	2–0	3–0	Euro 1988 qualifier
29 October 1986	Praterstadion , Vienna	1–0	4–1	Friendly
29 October 1986	Praterstadion , Vienna	2–1	4–1	Friendly
1 April 1987	Praterstadion, Vienna	2–2	2–3	Euro 1988 qualifier
29 April 1987	Qemal Stafa Stadium , Tirana	1–0	1–0	Euro 1988 qualifier
2 November 1988	Praterstadion, Vienna	1–0	3–2	1990 World Cup qualifier
20 May 1989	Zentralstadion , Leipzig	1–0	1–1	1990 World Cup qualifier
15 November 1989	Praterstadion, Vienna	1–0	3–0	1990 World Cup qualifier
15 November 1989	Praterstadion, Vienna	2–0	3–0	1990 World Cup qualifier
15 November 1989	Praterstadion, Vienna	3–0	3–0	1990 World Cup qualifier
28 March 1990	Estadio La Rosaleda , Málaga	2–2	3–2	Friendly
25 March 1992	Népstadion , Budapest	1–0	1–2	Friendly
14 April 1982	Praterstadion, Vienna	3–0	4–0	Friendly
27 May 1982	De Baandert , Sittard-Geleen	1–2	2–3	Friendly
2 September 1982	Linzer Stadion , Linz	1–0	1–1	Friendly
28 October 1992	Praterstadion, Vienna	3–0	5–2	1994 World Cup qualifier
14 April 1993	Ernst-Happel-Stadion, Vienna	3–1	3–1	1994 World Cup qualifier
2 June 1994	Ernst-Happel-Stadion, Vienna	1–4	1–5	Friendly
7 September 1994	Sportpark , Eschen	1–0	4–0	Euro 1996 qualifier
7 September 1994	Sportpark , Eschen	3–0	4–0	Euro 1996 qualifier
7 September 1994	Sportpark , Eschen	4–0	4–0	Euro 1996 qualifier
12 October 1994	Ernst-Happel-Stadion, Vienna	1–1	1–2	Euro 1996 qualifier
29 March 1995	Stadion Lehen , Salzburg	4–0	5–0	Euro 1996 qualifier
29 March 1995	Stadion Lehen , Salzburg	5–0	5–0	Euro 1996 qualifier
26 April 1995	Stadion Lehen, Salzburg	2–0	7–0	Euro 1996 qualifier
26 April 1995	Stadion Lehen, Salzburg	4–0	7–0	Euro 1996 qualifier
11 June 1995	Lansdowne Road , Dublin	1–1	3–1	Euro 1996 qualifier
11 June 1995	Lansdowne Road , Dublin	3–1	3–1	Euro 1996 qualifier
16 August 1995	Daugava Stadium , Riga	1–2	2–3	Euro 1996 qualifier
24 April 1996	Népstadion, Budapest	1–0	2–0	Friendly
9 November 1996	Ernst-Happel-Stadion, Vienna	1–0	2–1	1998 World Cup qualifier
8 June 1997	Daugava Stadium, Riga	2–0	3–1	1998 World Cup qualifier
20 August 1997	Kadrioru Stadium , Tallinn	1–0	3–0	1998 World Cup qualifier
20 August 1997	Kadrioru Stadium , Tallinn	2–0	3–0	1998 World Cup qualifier
20 August 1997	Kadrioru Stadium , Tallinn	3–0	3–0	1998 World Cup qualifier
11 October 1997	Ernst-Happel-Stadion, Vienna	1–0	4–0	1998 World Cup qualifier
11 October 1997	Ernst-Happel-Stadion, Vienna	3–0	4–0	1998 World Cup qualifier
2 June 1998	Ernst-Happel-Stadion, Vienna	1–0	6–0	Friendly
2 June 1998	Ernst-Happel-Stadion, Vienna	6–0	6–0	Friendly
11 June 1998	Stadium Municipal , Toulouse	1–1	1–1	1998 World Cup
