Season	Champion	Runner-up	Series Result	Finals MVP	Champion's Coach
1983–84	Real Madrid	FC Barcelona	2 – 1	N/A	Lolo Sainz
1984–85	Real Madrid	Joventut Badalona	2 – 1	N/A	Lolo Sainz
1985–86	Real Madrid	FC Barcelona	2 – 0	N/A	Lolo Sainz
1986–87	FC Barcelona	Joventut Badalona	3 – 1	N/A	Aíto García Reneses
1987–88	FC Barcelona	Real Madrid	3 – 2	N/A	Aíto García Reneses
1988–89	FC Barcelona	Real Madrid	3 – 2	N/A	Aíto García Reneses
1989–90	FC Barcelona	Joventut Badalona	3 – 0	N/A	Aíto García Reneses
1990–91	Joventut Badalona	FC Barcelona	3 – 1	Corny Thompson	Lolo Sainz
1991–92	Joventut Badalona	Real Madrid	3 – 2	Mike Smith	Lolo Sainz
1992–93	Real Madrid	Joventut Badalona	3 – 2	Arvydas Sabonis	Clifford Luyk
1993–94	Real Madrid	FC Barcelona	3 – 0	Arvydas Sabonis	Clifford Luyk
1994–95	FC Barcelona	CB Málaga	3 – 2	Michael Ansley	Aíto García Reneses
1995–96	FC Barcelona	CB Sevilla	3 – 0	Xavi Fernández	Aíto García Reneses
1996–97	FC Barcelona	Real Madrid	3 – 2	Roberto Dueñas	Aíto García Reneses
1997–98	Manresa	Baskonia	3 – 1	Joan Creus	Luis Casimiro
1998–99	FC Barcelona	CB Sevilla	3 – 0	Derrick Alston	Aíto García Reneses
1999–00	Real Madrid	FC Barcelona	3 – 2	Alberto Angulo	Sergio Scariolo
2000–01	FC Barcelona	Real Madrid	3 – 0	Pau Gasol	Aíto García Reneses
2001–02	Baskonia	CB Málaga	3 – 0	Elmer Bennett	Duško Ivanović
2002–03	FC Barcelona	Valencia BC	3 – 0	Šarūnas Jasikevičius	Svetislav Pešić
2003–04	FC Barcelona	Estudiantes	3 – 2	Dejan Bodiroga	Svetislav Pešić
2004–05	Real Madrid	Baskonia	3 – 2	Louis Bullock	Božidar Maljković
2005–06	CB Málaga	Baskonia	3 – 0	Jorge Garbajosa	Sergio Scariolo
2006–07	Real Madrid	FC Barcelona	3 – 1	Felipe Reyes	Joan Plaza
2007–08	Baskonia	FC Barcelona	3 – 0	Pete Mickeal	Neven Spahija
2008–09	FC Barcelona	Baskonia	3 – 1	Juan Carlos Navarro	Xavier Pascual
2009–10	Baskonia	FC Barcelona	3 – 0	Tiago Splitter	Duško Ivanović
2010–11	FC Barcelona	Bilbao Basket	3 – 0	Juan Carlos Navarro	Xavier Pascual
2011–12	FC Barcelona	Real Madrid	3 – 2	Erazem Lorbek	Xavier Pascual
2012–13	Real Madrid	FC Barcelona	3 – 2	Felipe Reyes	Pablo Laso
