Round	Player	Position	Nationality	College/Junior/Club Team (League)
2	Don McLean	Defense	Canada	Sudbury Wolves ( OHA )
3	Bob Sirois	Right Wing	Canada	Montreal Red White and Blue ( QMJHL )
4	Randy Andreachuk	Center	Canada	Kamloops Chiefs ( WCHL )
5	Dennis Sobchuk	Center	Canada	Regina Pats (WCHL)
6	Willie Friesen	Left Wing	Canada	Swift Current Broncos (WCHL)
7	Reggie Lemelin	Goaltender	Canada	Sherbrooke Beavers (QMJHL)
8	Steve Short	Left Wing	United States	Minnesota Junior Stars (MJHL)
9	Peter McKenzie	Defense	Canada	St. Francis Xavier University ( CIAU )
10	Marcel Labrosse	Center	Canada	Shawinigan Dynamos (QMJHL)
11	Scott Jessee	Right Wing	United States	Michigan Tech Huskies ( WCHA )
12	Richard Guay	Goaltender	Canada	Chicoutimi Saguenéens (QMJHL)
13	Brad Morrow	Defense	United States	Minnesota Golden Gophers (WCHA)
14	Craig Arvidson	Left Wing	United States	‪Minnesota–Duluth Bulldogs (WCHA)
