Shipyard	Name	Laid down	Launched	Commissioned	Fleet
SEVMASH, Severodvinsk	NA	30 January 1974	11 February 1976	30 December 1976	Northern
SEVMASH, Severodvinsk	NA	7 May 1974	25 May 1976	31 October 1976	Pacific
SEVMASH, Severodvinsk	NA	19 July 1974	29 July 1976	5 February 1977	Pacific
SEVMASH, Severodvinsk	NA	16 October 1974	16 August 1976	30 December 1976	Pacific
SEVMASH, Severodvinsk	NA	6 March 1975	27 January 1977	30 September 1977	Pacific
SEVMASH, Severodvinsk	NA	9 June 1975	4 April 1977	27 December 1977	Northern
SEVMASH, Severodvinsk	Borisoglebsk	23 September 1975	13 August 1977	30 December 1977	Northern
SEVMASH, Severodvinsk	Zelenograd	29 December 1975	26 January 1978	30 November 1978	Pacific
SEVMASH, Severodvinsk	Petropavlovsk-Kamchatskiy	19 August 1976	13 January 1979	28 September 1979	Pacific
SEVMASH, Severodvinsk	Podolsk	19 February 1977	30 April 1979	27 November 1979	Pacific
SEVMASH, Severodvinsk	NA	27 December 1977	8 January 1980	25 September 1980	Pacific
SEVMASH, Severodvinsk	Svyatoy Georgiy Pobedonosets	24 August 1978	20 June 1980	15 December 1980	Pacific
SEVMASH, Severodvinsk	Orenburg	9 April 1979	15 April 1981	5 November 1981	Northern
SEVMASH, Severodvinsk	Ryazan	31 January 1980	19 January 1982	17 September 1982	Pacific
