Date	City	Opponent	Results¹	Type of game
April 5	Athens , Greece	Greece	4:1	Friendly
April 29	Paris, France	France	0:0	1990 WCQ
May 25	Brussels , Belgium	Belgium	0:1	Friendly
June 14	Oslo , Norway	Norway	2:1	1990 WCQ
August 23	Kuopio , Finland	Finland	2:2	Friendly
September 6	Zagreb	Scotland	3:1	1990 WCQ
September 20	Novi Sad	Greece	3:0	Friendly
October 11	Sarajevo	Norway	1:0	1990 WCQ
October 28	Athens , Greece	Cyprus	2:1	1990 WCQ
November 14	João Pessoa , Brazil	Brazil	0:0	Friendly
December 13	London, England	England	1:2	Friendly
