Week	Date	Opponent	Result	Attendance
1	September 4, 1983	at New York Giants	W 16-6	75,281
2	September 11, 1983	New Orleans Saints	W 30-27	45,572
3	September 18, 1983	at Green Bay Packers	L 27-24	54,037
4	September 25, 1983	at New York Jets	L 27-24	52,070
5	October 2, 1983	Detroit Lions	W 21-10	49,403
6	October 9, 1983	at San Francisco 49ers	W 10-7	59,118
7	October 16, 1983	Atlanta Falcons	W 27-21	50,404
8	October 23, 1983	San Francisco 49ers	L 45-35	66,070
9	October 30, 1983	at Miami Dolphins	L 30-14	72,175
10	November 6, 1983	Chicago Bears	W 21-14	53,010
11	November 14, 1983	at Atlanta Falcons	W 36-13	31,202
12	November 20, 1983	Washington Redskins	L 42-20	63,031
13	November 27, 1983	Buffalo Bills	W 41-17	48,246
14	December 4, 1983	at Philadelphia Eagles	L 13-9	32,867
15	December 11, 1983	New England Patriots	L 21-7	46,503
16	December 18, 1983	at New Orleans Saints	W 26-24	70,148
