Tie no	Home team	Score	Away team	Attendance
1	Bolton Wanderers	1 – 0	Fulham	16,151
2	Tottenham Hotspur	1 – 1	Nottingham Forest	35,640
replay	Nottingham Forest	0 – 3	Tottenham Hotspur	28,062
3	Everton	0 – 2	Manchester United	38,664
4	Charlton Athletic	1 – 2	Leicester City	23,719
5	Burnley	0 – 0	Blackburn Rovers	21,468
replay	Blackburn Rovers	2 – 1	Burnley	28,691
6	Southampton	2 – 2	Brentford	24,741
replay	Brentford	1 – 3	Southampton	11,720
7	Newcastle United	1 – 0	Chelsea	45,740
8	Arsenal	1 – 1	Sheffield United	36,891
replay	Sheffield United	0 – 0	Arsenal	27,595
Arsenal win 4-2 on penalties	Arsenal win 4-2 on penalties	Arsenal win 4-2 on penalties	Arsenal win 4-2 on penalties	Arsenal win 4-2 on penalties
