Driver	Constructor	Laps	Time/Retired	Grid
Jacques Villeneuve	Williams - Renault	70	1:40:22.915	2
Damon Hill	Williams - Renault	70	+ 19.966	1
Michael Schumacher	Ferrari	70	+ 53.765	4
Jean Alesi	Benetton - Renault	70	+ 55.109	3
Eddie Irvine	Ferrari	70	+ 1:27.389	6
Gerhard Berger	Benetton - Renault	70	+ 1:33.141	5
Heinz-Harald Frentzen	Sauber - Ford	69	+ 1 Lap	11
Johnny Herbert	Sauber - Ford	69	+ 1 Lap	12
Martin Brundle	Jordan - Peugeot	69	+ 1 Lap	10
Olivier Panis	Ligier - Mugen-Honda	69	+ 1 Lap	15
Mika Salo	Tyrrell - Yamaha	69	+ 1 Lap	13
Ukyo Katayama	Tyrrell - Yamaha	68	+ 2 Laps	14
David Coulthard	McLaren - Mercedes	68	+ 2 Laps	8
Ricardo Rosset	Footwork - Hart	67	+ 3 Laps	17
Giovanni Lavaggi	Minardi - Ford	65	+ 5 Laps	20
Pedro Lamy	Minardi - Ford	65	+ 5 Laps	19
Mika Häkkinen	McLaren - Mercedes	52	Collision	7
Jos Verstappen	Footwork - Hart	47	Engine	16
Pedro Diniz	Ligier - Mugen-Honda	46	Collision	18
Rubens Barrichello	Jordan - Peugeot	41	Spun Off	9
