Game	Date	Opponent	Score	Location	Record
58	Sun. Mar. 1	Detroit Pistons	112-102	Boston Garden	43-15
59	Wed. Mar. 4	Utah Jazz	123-105	Boston Garden	44-15
60	Fri. Mar. 6	Los Angeles Clippers	132-111	Boston Garden	45-15
61	Sun. Mar. 8	@ Detroit Pistons	119-122 (OT)	Pontiac Silverdome	45-16
62	Wed. Mar. 11	Phoenix Suns	118-109	Boston Garden	46-16
63	Fri. Mar. 13	@ Indiana Pacers	109-116	Market Square Arena	46-17
64	Sun. Mar. 15	New York Knicks	113-104	Boston Garden	47-17
65	Tue. Mar. 17	@ Milwaukee Bucks	115-123	Milwaukee Arena (MECCA)	47-18
66	Wed. Mar. 18	Milwaukee Bucks	120-102	Boston Garden	48-18
67	Fri. Mar. 20	Seattle SuperSonics	112-108	Boston Garden	49-18
68	Sun. Mar. 22	New Jersey Nets	116-104	Boston Garden	50-18
69	Tue. Mar. 24	Cleveland Cavaliers	111-88	Hartford Civic Center	51-18
70	Thu. Mar. 26	@ Washington Bullets	103-106	Capital Centre	51-19
71	Fri. Mar. 27	@ Chicago Bulls	111-106	Chicago Stadium	52-19
72	Sun. Mar. 29	Philadelphia 76ers	118-100	Boston Garden	53-19
73	Tue. Mar. 31	@ New York Knicks	120-128	Madison Square Garden	53-20
