Team	Constructor	Motorcycle	Rider	Rounds
Ducati Xerox	Ducati	Ducati 999F05	James Toseland	All
Ducati Xerox	Ducati	Ducati 999F05	Régis Laconi	1–9, 11–12
Ducati Xerox	Ducati	Ducati 999F05	Lorenzo Lanzi	10
Yamaha Motor France-Ipone	Yamaha	Yamaha YZF-R1	Norick Abe	All
Yamaha Motor France-Ipone	Yamaha	Yamaha YZF-R1	Sébastien Gimbert	1–5, 7–12
Yamaha Motor France-Ipone	Yamaha	Yamaha YZF-R1	Alessandro Gramigni	11
PSG-1 Kawasaki Corse	Kawasaki	Kawasaki ZX-10R	Mauro Sanchini	1–7, 9, 11–12
PSG-1 Kawasaki Corse	Kawasaki	Kawasaki ZX-10R	Chris Walker	1–9, 11–12
PSG-1 Kawasaki Corse	Kawasaki	Kawasaki ZX-10R	Fonsi Nieto	11–12
PSG-1 Kawasaki Corse	Kawasaki	Kawasaki ZX-10R	Stefano Cruciani	10
PSG-1 Kawasaki Corse	Kawasaki	Kawasaki ZX-10R	Pere Riba	8
Klaffi Honda	Honda	Honda CBR1000RR	Pierfrancesco Chili	All
Klaffi Honda	Honda	Honda CBR1000RR	Max Neukirchner	All
Kawasaki Bertocchi	Kawasaki	Kawasaki ZX-10R	Ivan Clementi	1–4
Kawasaki Bertocchi	Kawasaki	Kawasaki ZX-10R	Giovanni Bussei	All
Team Pedercini	Ducati	Ducati 999 RS	Ivan Clementi	5–12
Team Pedercini	Ducati	Ducati 999 RS	Lucio Pedercini	1–4
Team Pedercini	Ducati	Ducati 999 RS	Alessio Velini	1, 3–12
Team Pedercini	Ducati	Ducati 999 RS	Alessio Corradi	2
Ducati SC Caracchi	Ducati	Ducati 999 RS	Fonsi Nieto	1–8
Ducati SC Caracchi	Ducati	Ducati 999 RS	Lorenzo Lanzi	1–3, 5–9, 11–12
Ducati SC Caracchi	Ducati	Ducati 999 RS	Gianluca Nannelli	4
Ducati SC Caracchi	Ducati	Ducati 999 RS	Giuseppe Zannini	11–12
Ducati SC Caracchi	Ducati	Ducati 999 RS	Norino Brignola	10
Ducati SC Caracchi	Ducati	Ducati 999 RS	Luca Pedersoli	6
Alstare Suzuki Corona Extra	Suzuki	Suzuki GSX-R1000 K5	Troy Corser	All
Alstare Suzuki Corona Extra	Suzuki	Suzuki GSX-R1000 K5	Yukio Kagayama	All
D.F.X. Treme	Yamaha	Yamaha YZF-R1	Lorenzo Alfonsi	2–9
D.F.X. Treme	Yamaha	Yamaha YZF-R1	Iván Silva	11
D.F.X. Treme	Yamaha	Yamaha YZF-R1	José Luis Cardoso	2–10
D.F.X. Treme	Yamaha	Yamaha YZF-R1	Mauro Lucchiari	11
DFXtreme Sterilgarda	Yamaha	Yamaha YZF-R1	Miguel Praia	1–10
DFXtreme Sterilgarda	Yamaha	Yamaha YZF-R1	José Luis Cardoso	1
DFXtreme Sterilgarda	Yamaha	Yamaha YZF-R1	Julien Da Costa	12
DFXtreme Sterilgarda	Yamaha	Yamaha YZF-R1	Marco Borciani	1–4
DFXtreme Sterilgarda	Ducati	Ducati 999 RS	Marco Borciani	6–12
Zone Rouge	Yamaha	Yamaha YZF-R1	Michel Nickmans	3–12
SBK Team JM	Ducati	Ducati 999 RS	Jiří Mrkývka	7, 9–11
Foggy Petronas Racing	Petronas	Petronas FP1	Garry McCoy	1–11
Foggy Petronas Racing	Petronas	Petronas FP1	Andy Notman	12
Foggy Petronas Racing	Petronas	Petronas FP1	Steve Martin	1–12
Winston Ten Kate Honda	Honda	Honda CBR1000RR	Karl Muggeridge	All
Winston Ten Kate Honda	Honda	Honda CBR1000RR	Chris Vermeulen	All
Yamaha Motor Italia WSB	Yamaha	Yamaha YZF-R1	Noriyuki Haga	All
Yamaha Motor Italia WSB	Yamaha	Yamaha YZF-R1	Andrew Pitt	All
Italia Lorenzini by Leoni	Yamaha	Yamaha YZF-R1	Gianluca Vizziello	1–4, 6–12
Italia Lorenzini by Leoni	Yamaha	Yamaha YZF-R1	Massimo Roccoli	5
Renegade Koji	Honda	Honda CBR1000RR	Ben Bostrom	All
La Glisse	Yamaha	Yamaha YZF-R1	Iván Silva	1, 3
La Glisse	Yamaha	Yamaha YZF-R1	Talal Al Nuami	1
Superbike New Zealand	Suzuki	Suzuki GSX-R1000 K4	Andrew Stroud	2
