Year	Winners	Grand Finalist	Scores	Venue	Crowd	Margin	Season Result
1956	South Melbourne	Carlton	13.16 (94) – 13.10 (88)	Lake Oval	32450	6	9th
1957	South Melbourne	Geelong	15.13 (103) – 8.4 (52)	Lake Oval	25000	51	10th
1958	St Kilda	Carlton	16.13 (109) – 15.11 (101)	Lake Oval	26400	8	8th
1959	Fitzroy	Hawthorn	10.10 (70) – 4.16 (40)	Lake Oval	9200	30	5th
1960	South Melbourne	Hawthorn	10.12 (72) – 8.11 (59)	Lake Oval	20000	13	8th
1961	Geelong	North Melbourne	9.20 (74) – 9.8 (62)	Lake Oval	30465	12	6th
1962	Richmond	Hawthorn	8.16 (64) – 9.6 (60)	Lake Oval	24550	4	8th
1963	Footscray	Richmond	10.9 (69) – 9.9 (63)	Lake Oval	25270	6	9th
1964	Footscray	St Kilda	11.12 (78) – 11.7 (73)	Lake Oval	36300	5	10th
1965	North Melbourne	Carlton	14.13 (97) – 9.3 (57)	Lake Oval	37750	40	9th
1966	North Melbourne	Hawthorn	20.12 (132) – 12.7 (79)	Lake Oval	22800	53	7th
1967	Footscray	South Melbourne	15.11 (101) – 8.8 (64)	Lake Oval	26731	45	12th
1968	Hawthorn	North Melbourne	16.15 (111) – 6.14 (50)	Lake Oval	15650	61	6th
1969	Hawthorn	Melbourne	10.17 (77) – 9.18 (72)	Lake Oval	21067	5	5th
1970	Footscray	Melbourne	13.17 (95) – 13.15 (93)	Lake Oval	23882	2	7th
