Rank	Event	Place	Name	Prize
1st	EPT4 Monte Carlo	1st	Glen Chorny	$3,196,354
2nd	EPT5 Monte Carlo	1st	Pieter de Korver	$3,056,255
3rd	EPT5 Caribbean Adventure	1st	Poorya Nazari	$3,000,000
4th	EPT3 Monte Carlo	1st	Gavin Griffin	$2,434,061
5th	EPT6 Monte Carlo	1st	Nicolas Chouity	$2,261,000
6th	EPT6 Caribbean Adventure	1st	Harrison Gimbel	$2,200,000
7th	EPT4 Caribbean Adventure	1st	Bertrand Grospellier	$2,000,000
8th	EPT5 Sanremo	1st	Constant Rijkenberg	$1,967,819
9th	EPT5 Barcelona	1st	Sebastian Ruthenberg	$1,941,401
10th	EPT4 Monte Carlo	2nd	Dénes Kaló	$1,865,595
