Year	Winner	Jockey	Trainer	Owner	Time
2013	Regalo Mia	Luis Contreras	Michelle Nihei	Steven W. Ciccarone	2:23.48
2012	Hit It Rich	Javier Castellano	Shug McGaughey	Stuart S. Janney III	2:28.06
2011	La Luna de Miel	John Velazquez	H. Graham Motion	Rashit Shaykhutdinov	2:25.76
2010	Speak Easy Gal	Elvis Trujillo	Marty Wolfson	Farnsworth Stables	2:28.46
2009	Dress Rehearsal	Kent Desormeaux	William I. Mott	Swettenham Stud	2:29.77
2008	Hostess	John Velazquez	H. James Bond	William Clifton Jr.	2:25.83
2007	Safari Queen	Chris DeCarlo	Todd A. Pletcher	Arindel Farm	2:25.17
2006	Honey Ryder	John R. Velazquez	Todd A. Pletcher	Glencrest Farm LLC	2:23.07
2005	Honey Ryder	John R. Velazquez	Todd A. Pletcher	Glencrest Farm LLC	2:27.15
2004	Meridiana	Edgar Prado	Christophe Clement	Jon & Sarah Kelly	2:26.99
2003	Tweedside	Rene Douglas	Todd A. Pletcher	E. & L. Melnyk	2:32.36
2002	Julie Jalouse	Jose A. Santos	Christophe Clement	Skymarc Farm	2:25.89
2001	Innuendo	Jerry D. Bailey	Christophe Clement	Gerald W. Leigh	2:25.24
2000	Lisieux Rose	Jose A. Santos	Christophe Clement	Moyglare Stud Farm	2:25.64
1999	Coretta	Jose A. Santos	Christophe Clement	Gerald W. Leigh	2:23.85
