Rank	Mountain Peak	State	Mountain Range	Location
1	Mount McKinley ( Denali )	Alaska	Alaska Range	63.0690°N 151.0063°W
2	Mauna Kea	Hawaii	Island of Hawai ʻ i	19.8207°N 155.4680°W
3	Mount Rainier	Washington	Cascade Range	46.8529°N 121.7604°W
4	Mount Fairweather ( Fairweather Mountain )	Alaska British Columbia	Saint Elias Mountains	58.9064°N 137.5267°W
5	Mount Blackburn	Alaska	Wrangell Mountains	61.7305°N 143.4031°W
6	Mount Hayes	Alaska	Alaska Range	63.6203°N 146.7178°W
7	Mount Saint Elias	Alaska Yukon	Saint Elias Mountains	60.2931°N 140.9264°W
8	Mount Marcus Baker	Alaska	Chugach Mountains	61.4374°N 147.7525°W
9	Mount Whitney	California	Sierra Nevada	36.5786°N 118.2920°W
10	Haleakalā	Hawaii	Island of Maui	20.7097°N 156.2533°W
11	Mount Shasta	California	Cascade Range	41.4092°N 122.1949°W
12	Shishaldin Volcano	Alaska	Unimak Island	54.7554°N 163.9709°W
13	Redoubt Volcano	Alaska	Chigmit Mountains	60.4854°N 152.7442°W
14	Mount Elbert	Colorado	Sawatch Range	39.1178°N 106.4454°W
15	Mount Baker	Washington	Cascade Range	48.7768°N 121.8145°W
16	Mount Torbert	Alaska	Alaska Range	61.4086°N 152.4125°W
17	San Jacinto Peak	California	San Jacinto Mountains	33.8147°N 116.6794°W
18	San Gorgonio Mountain	California	San Bernardino Mountains	34.0992°N 116.8249°W
19	Charleston Peak ( Mount Charleston )	Nevada	Spring Mountains	36.2716°N 115.6956°W
20	Pavlof Volcano	Alaska	Alaska Peninsula	55.4173°N 161.8932°W
21	Mount Veniaminof	Alaska	Alaska Peninsula	56.2194°N 159.2975°W
22	Mount Adams	Washington	Cascade Range	46.2024°N 121.4909°W
23	Mount Hubbard	Alaska Yukon	Saint Elias Mountains	60.3192°N 139.0714°W
24	Mount Chamberlin	Alaska	Brooks Range	69.2775°N 144.9107°W
25	Iliamna Volcano	Alaska	Chigmit Mountains	60.0321°N 153.0915°W
26	Mount Olympus	Washington	Olympic Mountains	47.8013°N 123.7108°W
27	Mount Cook	Alaska Yukon	Saint Elias Mountains	60.1819°N 139.9808°W
28	Mount Hood	Oregon	Cascade Range	45.3735°N 121.6959°W
29	Mount Sanford	Alaska	Wrangell Mountains	62.2132°N 144.1292°W
30	Mount Tom White	Alaska	Chugach Mountains	60.6518°N 143.6972°W
31	Wheeler Peak	Nevada	Snake Range	38.9858°N 114.3139°W
32	Glacier Peak	Washington	Cascade Range	48.1125°N 121.1138°W
33	Mount Kimball	Alaska	Alaska Range	63.2390°N 144.6419°W
34	Mount Griggs	Alaska	Alaska Peninsula	58.3534°N 155.0958°W
35	Mount Foraker	Alaska	Alaska Range	62.9604°N 151.3998°W
36	White Mountain Peak	California	White Mountains	37.6341°N 118.2557°W
37	Mount Crillon	Alaska	Saint Elias Mountains	58.6625°N 137.1712°W
38	Mauna Loa	Hawaii	Island of Hawai ʻ i	19.4756°N 155.6054°W
39	Cloud Peak	Wyoming	Bighorn Mountains	44.3821°N 107.1739°W
40	Gannett Peak	Wyoming	Wind River Range	43.1842°N 109.6542°W
41	Mount Vsevidof	Alaska	Umnak Island	53.1256°N 168.6938°W
42	Mount Hesperus	Alaska	Alaska Range	61.8036°N 154.1469°W
43	Mount Bona	Alaska	Saint Elias Mountains	61.3856°N 141.7495°W
44	Mount Drum	Alaska	Wrangell Mountains	62.1159°N 144.6394°W
45	Mount Chiginagak	Alaska	Aleutian Range	57.1334°N 156.9912°W
46	Grand Teton	Wyoming	Teton Range	43.7412°N 110.8024°W
47	Sacajawea Peak	Oregon	Wallowa Mountains	45.2450°N 117.2929°W
48	Mount Neacola	Alaska	Aleutian Range	60.7981°N 153.3959°W
49	Kings Peak (Utah)	Utah	Uinta Mountains	40.7763°N 110.3729°W
50	Mount Graham	Arizona	Pinaleño Mountains	32.7017°N 109.8714°W
