Year	Team	Number	BB +HBP	BA (Place)
1984	Seibu Lions	5	11	.209
1985	Seibu Lions	5	39	.275
1986	Seibu Lions	5	44	.296（13）
1987	Seibu Lions	5	7	.200
1988	Seibu Lions	5	31	.263（23）
1989	Seibu Lions	5	39	.304（7）
1990	Seibu Lions	5	53	.266（22）
1991	Seibu Lions	5	51	.271（14）
1992	Seibu Lions	5	67	.285（14）
1993	Seibu Lions	5	57	.319（1）
1994	Seibu Lions	5	39	.294（8）
1995	Seibu Lions	5	49	.238
1996	Yakult Swallows	8	53	.333（2）
1997	Yakult Swallows	8	22	.262
1998	Yakult Swallows	8	12	.304
1999	Yakult Swallows	8	6	.196
Carer Total	Carer Total	Carer Total	580	.282
