Circuit	City / State	Date	Winner	Team
Mallala Motor Sport Park	Mallala , South Australia	7 May	Mark McLaughlin	Elfin Sports Cars
Mallala Motor Sport Park	Mallala , South Australia	7 May	Rohan Onslow	R.J.Macarthur Onslow
Winton Motor Raceway	Benalla , Victoria	4 June	Rohan Onslow	R.J.Macarthur Onslow
Winton Motor Raceway	Benalla , Victoria	4 June	John Briggs	John Briggs
Oran Park Raceway	Sydney , New South Wales	4 August	Rohan Onslow	R.J.Macarthur Onslow
Oran Park Raceway	Sydney , New South Wales	4 August	Rohan Onslow	R.J.Macarthur Onslow
Amaroo Park	Sydney , New South Wales	20 August	Neil Crompton	Boylan Racing
Amaroo Park	Sydney , New South Wales	20 August	Simon Kane	Clive Kane Photography
Sandown International Raceway	Melbourne , Victoria	9 October	Sam Astuti	Cascone Corporation
Sandown International Raceway	Melbourne , Victoria	9 October	Neil Crompton	Boylan Racing
