Game	March	Opponent	Score	Record
58	1	Detroit Red Wings	5 - 2	24-23-11
59	4	@ Boston Bruins	5 - 1	24-24-11
60	5	Toronto Maple Leafs	5 - 2	25-24-11
61	8	@ Chicago Black Hawks	4 - 2	26-24-11
62	9	Detroit Red Wings	3 - 1	27-24-11
63	11	@ Toronto Maple Leafs	4 - 0	27-25-11
64	12	Montreal Canadiens	5 - 1	27-26-11
65	15	Boston Bruins	4 - 1	27-27-11
66	18	@ Montreal Canadiens	5 - 3	27-28-11
67	19	Montreal Canadiens	4 - 2	27-29-11
68	21	Chicago Black Hawks	6 - 3	27-30-11
69	22	@ Detroit Red Wings	8 - 7	27-31-11
70	26	Toronto Maple Leafs	5 - 3	28-31-11
