Player	Birth Date	Weight	Height	Position	Current Club
Ardo Kreek	August 7, 1986 (age27)	96	203	Middle blocker	Paris Volley
Kert Toobal	June 3, 1979 (age34)	78	189	Setter	Sivas 4 Eylül
Martti Juhkami	June 6, 1988 (age25)	96	196	Spiker	TV Bühl
Argo Meresaar	January 13, 1980 (age34)	107	206	Opposite	Bigbank Tartu
Kusti Nõlvak	November 6, 1991 (age22)	81	186	Setter	TTÜ VK
Robert Täht	August 15, 1993 (age20)	80	190	Spiker	Bigbank Tartu
Oliver Venno	May 23, 1990 (age23)	105	210	Opposite	Rennes Volley 35
Rait Rikberg	August 30, 1982 (age31)	80	174	Libero	Bigbank Tartu
Edgar Järvekülg	June 12, 1988 (age25)	77	186	Setter	Pärnu VK
Siim Ennemuist	December 5, 1989 (age24)	89	196	Middle blocker	TTÜ VK
Jaanus Nõmmsalu	January 19, 1981 (age33)	94	200	Spiker	TTÜ VK
Andri Aganits	September 7, 1993 (age20)	99	207	Middle Blocker	TV Bühl
