Title	Series	Director	Production Number	Release date	reissue?
Odor-able Kitty	LT	Chuck Jones	?, BR 1230	1945-01-06	Yes
Herr Meets Hare	MM	Friz Freleng	7-13	1945-01-13	No
Draftee Daffy	LT	Bob Clampett	1-15	1945-01-27	No
Unruly Hare, The	MM	Frank Tashlin	4-14	1945-02-10	No
Trap Happy Porky	LT	Chuck Jones	9-15, BR 1186	1945-02-24	Yes
Life with Feathers	MM	Friz Freleng	?, BR 1231	1945-03-24	Yes
Behind the Meatball	LT	Frank Tashlin (uncredited)	13-14	1945-04-07	No
Hare Trigger	MM	Friz Freleng	9-14	1945-05-05	No
Ain't That Ducky	LT	Friz Freleng	?. BR 1313	1945-05-19	Yes
A Gruesome Twosome	MM	Bob Clampett	3-14	1945-06-09	No
Tale of Two Mice	LT	Frank Tashlin	7-15, BR 1309	1945-06-30	Yes
Wagon Heels	MM	Bob Clampett	6-14	1945-07-28	No
Hare Conditioned	LT	Chuck Jones	5-14	1945-08-11	No
Fresh Airedale	MM	Chuck Jones	?, BR 1259	1945-08-25	Yes
Bashful Buzzard	LT	Bob Clampett	4-14, BR 1310	1945-09-05	Yes
Peck Up Your Troubles	MM	Friz Freleng	?, BR 1233	1945-10-20	Yes
Hare Tonic	LT	Chuck Jones	L-8-14	1945-11-10	No
Nasty Quacks	MM	Frank Tashlin	11-15	1945-12-01	No
