No	Driver	Entrant	Constructor	Chassis	Engine
1	B. Bira	Private	Maserati	Maserati 4CLT/48	Maserati L4s
2	Emmanuel de Graffenried	Private	Maserati	Maserati 4CLT/48	Maserati L4s
3	Tony Rolt	Private	Alfa Romeo	Alfa Romeo B	Alfa Romeo L8
4	Raymond Mays Ken Richardson	T. Vandervell	Ferrari	Ferrari 125	Ferrari V12s
5	Bob Ansell	Private	Maserati	Maserati 4CM	Maserati L4s
6	Geoff Ansell Brian Shawe-Taylor	Private	ERA	ERA B	ERA L6s
7	Bob Gerard	Bob Gerard Racing	ERA	ERA B	ERA L6s
8	David Hampshire Billy Cotton	Private	ERA	ERA B	ERA L6s
9	David Murray	Private	Maserati	Maserati 4CL	Maserati L4s
10	Reg Parnell	Scuderia Ambrosiana	Maserati	Maserati 4CLT/48	Maserati L4s
11	Fred Ashmore	Scuderia Ambrosiana	Maserati	Maserati 4CLT/48	Maserati L4s
12	Luigi Villoresi	Scuderia Ambrosiana	Maserati	Maserati 4CLT/48	Maserati L4s
15	Louis Chiron	SFACS Ecurie France	Talbot-Lago	Talbot-Lago T26C	Talbot L6
16	Louis Rosier	Private	Talbot-Lago	Talbot-Lago T26C	Talbot L6
17	Yves Giraud-Cabantous	Private	Talbot-Lago	Talbot-Lago T26C	Talbot L6
18	George Abecassis	Private	Alta	Alta GP	Alta L4s
19	Johnny Claes	Ecurie Belge	Talbot-Lago	Talbot-Lago T26C	Talbot L6
20	George Nixon	Private	ERA	ERA A	ERA L6s
21	Peter Whitehead Dudley Folland	Scuderia Ferrari	Ferrari	Ferrari 125	Ferrari V12s
22	Duncan Hamilton Philip Fotheringham-Parker	Private	Maserati	Maserati 6CM	Maserati L6s
24	Philippe Étancelin	Private	Talbot-Lago	Talbot-Lago T26C	Talbot L6
25	Roy Salvadori	Private	Maserati	Maserati 4CL	Maserati L4s
26	Anthony Baring	Private	Maserati	Maserati 4CM	Maserati L4
27	John Bolster	P.H. Bell	ERA	ERA B	ERA L6s
28	Peter Walker	P.N. Whitehead	ERA	ERA B	ERA L6s
