Name	Date of Birth	Height	Weight	Spike	Block
Konstantinos Christofidelis	26.06.1977	195	87	341	320
Marios Giourdas	02.03.1973	202	90	356	341
Theodoros Chatziantoniou	16.03.1974	204	95	360	350
Vasileios Kournetas	02.08.1976	191	82	336	320
Georgios Stefanou	12.01.1981	187	82	295	305
Antonios Tsakiropoulos	01.07.1969	205	93	350	336
Nikolaos Roumeliotis	12.10.1978	201	97	343	320
Sotirios Pantaleon	21.06.1980	200	77	330	312
Ilias Lappas	20.07.1979	194	92	335	320
Andrej Kravárik	28.07.1971	204	97	360	350
Konstantinos Prousalis	06.10.1980	192	83	320	295
Theodoros Baev	31.05.1977	200	95	340	333
