Team	Coach	Home Ground	Location	Founded
Adelaide Cobras	Kris Trajanovski	Weigall Oval	Plympton	1972
Adelaide Comets	Barney Smith	Santos Stadium	Mile End	1994
Adelaide Hills Hawks	Doug Paterson	Hawks Nest	Woodside	1991
Adelaide Olympic	Unknown	Thebarton Oval	Thebarton	1978
Cumberland United	Nick Pantsaras	A.A. Bailey Reserve	Clarence Gardens	1943
Enfield City Falcons	Unknown	Rushworth Reserve	Enfield	1946
Noarlunga United Bulldogs	Unknown	Wilfred Taylor Reserve	Noarlunga	1963
Playford City Patriots	Unknown	Ramsay Park	Elizabeth	1956
Port Adelaide Pirates	Derek Hall	John Hart Reserve	Port Adelaide	1903
White City Woodville	Adrian Santrac	Frank Mitchell Park	Woodville West	1949
