Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 21	Puerto Rico Senior Tournament of Champions	Puerto Rico	800,000	John Bland (2)	207 (-9)	151,000
Feb 4	Royal Caribbean Classic	Florida	850,000	Bob Murphy (9)	203 (-10)	127,500
Feb 11	Greater Naples IntelliNet Challenge	Florida	600,000	Al Geiberger (10)	202 (-14)	90,000
Feb 18	GTE Suncoast Classic	Florida	750,000	Jack Nicklaus (9)	211 (-2)	112,500
Feb 25	American Express Invitational	Florida	900,000	Hale Irwin (3)	197 (-19)	135,000
Mar 3	FHP Health Care Classic	California	800,000	Walter Morgan (2)	199 (-11)	120,000
Mar 17	Toshiba Senior Classic	California	1,000,000	Jim Colbert (14)	201 (-12)	150,000
Mar 31	SBC Dominion Seniors	Texas	650,000	Tom Weiskopf (3)	207 (-9)	97,500
Apr 7	The Tradition	Arizona	1,000,000	Jack Nicklaus (10)	272 (-16)	150,000
Apr 21	PGA Seniors' Championship	Florida	1,100,000	Hale Irwin (4)	280 (-8)	198,000
Apr 28	Las Vegas Senior Classic	Nevada	1,000,000	Jim Colbert (15)	207 (-9)	150,000
May 5	PaineWebber Invitational	North Carolina	800,000	Graham Marsh (2)	206 (-10)	120,000
May 12	Nationwide Championship	Georgia	1,200,000	Jim Colbert (16)	206 (-10)	180,000
May 19	Cadillac NFL Golf Classic	New Jersey	950,000	Bob Murphy (10)	202 (-14)	142,500
May 26	BellSouth Senior Classic at Opryland	Tennessee	1,200,000	Isao Aoki (5)	202 (-14)	180,000
Jun 2	Bruno's Memorial Classic	Alabama	1,050,000	John Bland (3)	208 (-8)	157,500
Jun 9	Pittsburgh Senior Classic	Pennsylvania	1,100,000	Tom Weiskopf (4)	205 (-11)	165,000
Jun 16	du Maurier Champions	Canada	1,100,000	Charles Coody (5)	271 (-9)	165,000
Jun 23	Bell Atlantic Classic	Pennsylvania	900,000	Dale Douglass (11)	206 (-4)	135,000
Jun 30	Kroger Senior Classic	Ohio	900,000	Isao Aoki (6)	198 (-15)	135,000
Jul 7	U.S. Senior Open	Ohio	1,200,000	Dave Stockton (12)	277 (-11)	212,500
Jul 14	Ford Senior Players Championship	Michigan	1,500,000	Raymond Floyd (13)	275 (-13)	225,000
Jul 21	Burnet Senior Classic	Minnesota	1,250,000	Vicente Fernandez (1)	205 (-11)	187,500
Jul 28	Ameritech Senior Open	Illinois	1,100,000	Walter Morgan (3)	205 (-11)	165,000
Aug 4	VFW Senior Championship	Missouri	800,000	Dave Eichelberger (2)	200 (-10)	135,000
Aug 11	First of America Classic	Michigan	850,000	Dave Stockton (13)	206 (-10)	127,500
Aug 18	Northville Long Island Classic	New York	800,000	John Bland (4)	202 (-14)	120,000
Aug 25	Bank of Boston Senior Classic	Massachusetts	800,000	Jim Dent (10)	204 (-12)	120,000
Sep 1	Franklin Quest Championship	Utah	800,000	Graham Marsh (3)	202 (-14)	120,000
Sep 8	Boone Valley Classic	Missouri	1,200,000	Gibby Gilbert (5)	203 (-10)	180,000
Sep 15	Bank One Classic	Kentucky	600,000	Mike Hill (18)	207 (-9)	90,000
Sep 22	Brickyard Crossing Championship	Indiana	750,000	Jimmy Powell (4)	134 (-10)	112,500
Sep 29	Vantage Championship	North Carolina	1,500,000	Jim Colbert (17)	204 (-9)	225,000
Oct 6	Ralphs Senior Classic	California	800,000	Gil Morgan (1)	202 (-11)	120,000
Oct 13	The Transamerica	California	700,000	John Bland (5)	204 (-12)	105,000
Oct 20	Raley's Gold Rush Classic	California	800,000	Jim Colbert (18)	202 (-14)	120,000
Oct 27	Hyatt Regency Maui Kaanapali Classic	Hawaii	650,000	Bob Charles (23)	198 (-15)	97,500
Nov 3	Emerald Coast Classic	Florida	1,050,000	Lee Trevino (27)	207 (-3)	157,500
Nov 10	Energizer Senior Tour Championship	South Carolina	1,600,000	Jay Sigel (2)	279 (-9)	280,000
