Date	Visitor	Score	Home	Record
October 10	Chicago Black Hawks	3–0	Los Angeles Kings	1–0–0
October 12	Chicago Black Hawks	2–3	California Golden Seals	1–1–0
October 14	Minnesota North Stars	1-1	Chicago Black Hawks	1–1-1
October 17	Vancouver Canucks	0–5	Chicago Black Hawks	2–1–1
October 21	New York Islanders	3–3	Chicago Black Hawks	2–1–2
October 24	Chicago Black Hawks	1–3	Buffalo Sabres	2–2–2
October 27	Chicago Black Hawks	4–4	St. Louis Blues	2–2–3
October 28	Toronto Maple Leafs	1–1	Chicago Black Hawks	2–2–4
November 1	Chicago Black Hawks	0–1	Philadelphia Flyers	2–3–4
November 3	Chicago Black Hawks	4–5	Minnesota North Stars	2–4–4
November 4	New York Rangers	1–4	Chicago Black Hawks	3–4–4
November 7	Chicago Black Hawks	1–1	California Golden Seals	3–4–5
November 9	Chicago Black Hawks	4–0	Vancouver Canucks	4–4–5
November 11	Chicago Black Hawks	3-0	Los Angeles Kings	5–4–5
November 14	Chicago Black Hawks	4–4	New York Rangers	5-4–6
November 16	Chicago Black Hawks	6–1	Atlanta Flames	6–4–6
November 17	Chicago Black Hawks	4–1	Pittsburgh Penguins	7-4–6
November 21	St. Louis Blues	1-4	Chicago Black Hawks	8–4–6
November 24	Chicago Black Hawks	3-1	Toronto Maple Leafs	9–4–6
November 25	Montreal Canadiens	6–4	Chicago Black Hawks	9–5–6
November 28	Boston Bruins	3–3	Chicago Black Hawks	9–5–7
December 1	Chicago Black Hawks	5–0	Montreal Canadiens	10–5–7
December 2	Pittsburgh Penguins	1-2	Chicago Black Hawks	11–5–7
December 5	Chicago Black Hawks	8–2	Detroit Red Wings	12–5–7
December 9	Minnesota North Stars	3–5	Chicago Black Hawks	13–5–7
December 12	Philadelphia Flyers	2-2	Chicago Black Hawks	13–5–8
December 15	Chicago Black Hawks	3-3	New York Islanders	13–5–9
December 16	Chicago Black Hawks	6-1	New York Rangers	14–5–9
December 19	Buffalo Sabres	2–2	Chicago Black Hawks	14–5–10
December 22	Chicago Black Hawks	2–4	Philadelphia Flyers	14–6–10
December 23	Vancouver Canucks	2–6	Chicago Black Hawks	15–6–10
December 26	Los Angeles Kings	3–3	Chicago Black Hawks	15–6–11
December 29	Chicago Black Hawks	4–2	Pittsburgh Penguins	16–6–11
December 30	Toronto Maple Leafs	4–3	Chicago Black Hawks	16–7–11
January 2	New York Islanders	1–5	Chicago Black Hawks	17–7–11
January 3	Chicago Black Hawks	2-3	Atlanta Flames	17–8–11
January 6	California Golden Seals	4–9	Chicago Black Hawks	18–8–11
January 9	Los Angeles Kings	4–4	Chicago Black Hawks	18–8–12
January 10	Chicago Black Hawks	2–2	Boston Bruins	18–8–13
January 13	Detroit Red Wings	1–4	Chicago Black Hawks	19–8–13
January 16	Boston Bruins	5–5	Chicago Black Hawks	19–8–14
January 19	New York Rangers	3-2	Chicago Black Hawks	19-9–14
January 20	Vancouver Canucks	2–7	Chicago Black Hawks	20–9–14
January 24	Chicago Black Hawks	2–1	Boston Bruins	21-9–14
January 26	Chicago Black Hawks	1–4	Montreal Canadiens	21–10–14
January 27	New York Islanders	4-2	Chicago Black Hawks	21–11–14
January 31	California Golden Seals	1–2	Chicago Black Hawks	22–11–14
February 2	Chicago Black Hawks	3–1	Pittsburgh Penguins	23–11–14
February 3	St. Louis Blues	0–3	Chicago Black Hawks	24–11–14
February 6	Atlanta Flames	1–1	Chicago Black Hawks	24–11–15
February 8	Chicago Black Hawks	3–0	Atlanta Flames	25–11–15
February 10	Pittsburgh Penguins	3–5	Chicago Black Hawks	26–11–15
February 13	Los Angeles Kings	0–4	Chicago Black Hawks	27–11–15
February 16	Chicago Black Hawks	4–0	New York Islanders	28–11–15
February 17	Toronto Maple Leafs	1-4	Chicago Black Hawks	29–11–15
February 20	California Golden Seals	0–3	Chicago Black Hawks	30–11–15
February 23	Philadelphia Flyers	1–3	Chicago Black Hawks	31–11–15
February 24	Pittsburgh Penguins	4–2	Chicago Black Hawks	31–12–15
February 27	Chicago Black Hawks	3–1	Minnesota North Stars	32–12–15
February 28	Chicago Black Hawks	2–2	Buffalo Sabres	32–12–16
March 3	Chicago Black Hawks	6–6	Detroit Red Wings	32–12–17
March 6	Chicago Black Hawks	3–3	California Golden Seals	32–12–18
March 7	Chicago Black Hawks	2–3	Los Angeles Kings	32–13–18
March 9	Chicago Black Hawks	4–4	Vancouver Canucks	32–13–19
March 13	Montreal Canadiens	3-3	Chicago Black Hawks	32–13–20
March 14	Chicago Black Hawks	5–2	New York Rangers	33–13–20
March 16	Chicago Black Hawks	3–1	Montreal Canadiens	34-13–20
March 17	Atlanta Flames	3–3	Chicago Black Hawks	34–13–21
March 20	Buffalo Sabres	3–2	Chicago Black Hawks	34–14–21
March 23	Chicago Black Hawks	3–1	Philadelphia Flyers	35–14–21
March 24	Minnesota North Stars	0–6	Chicago Black Hawks	36–14–21
March 27	Chicago Black Hawks	5–3	Toronto Maple Leafs	37–14-21
March 28	Chicago Black Hawks	2–2	Buffalo Sabres	37–14–22
March 30	Chicago Black Hawks	2–1	Detroit Red Wings	38–14–22
March 31	St. Louis Blues	2–2	Chicago Black Hawks	38–14–23
April 3	Boston Bruins	2–6	Chicago Black Hawks	39–14–23
April 6	Chicago Black Hawks	6–3	St. Louis Blues	40–14–23
April 7	Detroit Red Wings	4–7	Chicago Black Hawks	41-14–23
