Seed	Team	League	Notes	Eliminated at
1	Ateneo de Manila University Blue Eagles	UAAP	UAAP runner-up	Quarterfinals (eliminated by Mapúa)
2	San Beda College Red Lions	NCAA	NCAA champion	Finals (defeated by UE)
3	University of Santo Tomas Growling Tigers	UAAP	UAAP champion	Round of 16 (eliminated by JRU)
4	Philippine Christian University Dolphins	NCAA	NCAA runner-up	Quarterfinals (eliminated by UE)
5	University of the East Red Warriors	UAAP	UAAP 3rd place	Champions (Finals vs. San Beda)
6	Colegio de San Juan de Letran Knights	NCAA	NCAA 3rd place	Quarterfinals (eliminated by JRU)
7	Adamson University Soaring Falcons	UAAP	UAAP 4th place	Round of 16 (eliminated by UV)
8	Mapua Institute of Technology Cardinals	NCAA	NCAA 4th place	Semifinals (eliminated by UE)
9	Saint Francis of Assisi College System Doves	NCRAA	NCRAA champion	Round of 16 (eliminated by Mapúa)
10	University of the Visayas Green Lancers	CESAFI	Visayas-Mindanao qualifier	Quarterfinals (eliminated by San Beda)
11	University of Cebu Webmasters	CESAFI	Visayas-Mindanao qualifier	Round of 16 (eliminated by Letran)
12	Emilio Aguinaldo College Generals	UCAA	UCAA champion	Round of 16 (eliminated by UE)
13	AMA Computer University Titans	NAASCU	NAASCU champion	Round of 16 (eliminated by PCU)
14	José Rizal University Heavy Bombers	NCAA	NCAA 6th place - Wildcard	Semifinals (eliminated by San Beda)
15	National University Bulldogs	UAAP	UAAP 7th place - Wildcard	Round of 16 (eliminated by San Beda)
16	PMI Colleges Admirals	CUSA	CUSA champion - Wildcard	Round of 16 (eliminated by Ateneo)
