Date	Opponents	Venue	Result	Attendance	Report 1
27-Aug-83	Wolverhampton Wanderers	A	1–1	26,249	Report
31-Aug-83	Norwich City	A	1–0	23,859	Report
03-Sep-83	Nottingham Forest	H	1–0	31,376	Report
06-Sep-83	Southampton	H	1–1	26,331	Report
10-Sep-83	Arsenal	A	2–0	47,896	Report
17-Sep-83	Aston Villa	H	2–1	34,246	Report
24-Sep-83	Manchester United	A	0–1	56,121	Report
01-Oct-83	Sunderland	H	0–1	29,534	Report
15-Oct-83	West Ham United	A	3–1	32,555	Report
22-Oct-83	Queens Park Rangers	A	1–0	27,140	Report
29-Oct-83	Luton Town	H	6–0	31,940	Report
06-Nov-83	Everton	H	3–0	40,875	Report
12-Nov-83	Tottenham Hotspur	A	2–2	45,032	Report
19-Nov-83	Stoke City	H	1–0	26,529	Report
26-Nov-83	Ipswich Town	A	1–1	23,826	Report
03-Dec-83	Birmingham City	H	1–0	24,791	Report
10-Dec-83	Coventry City	A	0–4	20,586	Report
17-Dec-83	Notts County	H	5–0	22,436	Report
26-Dec-83	West Bromwich Albion	A	2–1	25,139	Report
27-Dec-83	Leicester City	H	2–2	33,664	Report
31-Dec-83	Nottingham Forest	A	1–0	29,692	Report
02-Jan-84	Manchester United	H	1–1	45,122	Report
14-Jan-84	Wolverhampton Wanderers	H	0–1	23,325	Report
20-Jan-84	Aston Villa	A	3–1	19,566	Report
01-Feb-84	Watford	H	3–0	20,746	Report
04-Feb-84	Sunderland	A	0–0	25,646	Report
11-Feb-84	Arsenal	H	2–1	34,642	Report
18-Feb-84	Luton Town	A	0–0	14,877	Report
25-Feb-84	Queens Park Rangers	H	2–0	32,206	Report
03-Mar-84	Everton	A	1–1	51,245	Report
10-Mar-84	Tottenham Hotspur	H	3–1	36,718	Report
16-Mar-84	Southampton	A	0–2	19,698	Report
31-Mar-84	Watford	A	2–0	21,293	Report
07-Apr-84	West Ham United	H	6–0	38,359	Report
14-Apr-84	Stoke City	A	0–2	24,372	Report
18-Apr-84	Leicester City	A	3–3	26,553	Report
21-Apr-84	West Bromwich Albion	H	3–0	35,320	Report
28-Apr-84	Ipswich Town	H	2–2	32,069	Report
05-May-84	Birmingham City	A	0–0	18,809	Report
07-May-84	Coventry City	H	5–0	33,393	Report
12-May-84	Notts County	A	0–0	18,745	Report
15-May-84	Norwich City	H	1–1	38,837	Report
