English Name	Simplified	Traditional	Pinyin	Area	Population	Density
Hexi District	河西区	河西區	Héxī Qū	10	134026	13,403
Hedong District	河东区	河東區	Hédōng Qū	35	147944	4,227
Haitangwan	海棠湾镇	海棠灣鎮	Hǎitángwān Zhèn	254	44617	176
Jiyang	吉阳镇	吉陽鎮	Jíyáng Zhèn	199	92316	464
Fenghuang	凤凰镇	鳳凰鎮	Fènghuáng Zhèn	487	66801	137
Yacheng	崖城镇	崖城鎮	Yáchéng Zhèn	383	74779	195
Tianya	天涯镇	天涯鎮	Tiānyá Zhèn	269	34934	130
Yucai	育才镇	育才鎮	Yùcái Zhèn	315	17515	56
Nantian Farm	国营南田农场	國營南田農場	Guóyíng Nántián Nóngchǎng	N.D.	24280	N.D.
Nanxin Farm	国营南新农场	國營南新農場	Guóyíng Nánxīn Nóngchǎng	N.D.	16801	N.D.
Licai Farm	国营立才农场	國營立才農場	Guóyíng Lìcái Nóngchǎng	N.D.	16659	N.D.
