Division	Brigade	Regiment	Colonel	County
1st Division	1st Brigade	47th Regiment	Col.	Hot Spring
1st Division	1st Brigade	28th Regiment	Col.	Clark
1st Division	1st Brigade	38th Regiment	Col.	Pike
1st Division	1st Brigade	8th Regiment	Col.	Hempstead
1st Division	1st Brigade	40th Regiment	Col.	Lafayette
1st Division	1st Brigade	37th Regiment	Col.	Sevier
1st Division	1st Brigade	39th Regiment	Col.	Ouachita
1st Division	1st Brigade	57th Regiment	Col.	Montgomery
1st Division	2nd Brigade Brigadier General Richard C. Byrd	26th Regiment	Colonel Charles Fitch	Yell
1st Division	2nd Brigade Brigadier General Richard C. Byrd	18th Regiment	Colonel J.J. Joiner	Saline
1st Division	2nd Brigade Brigadier General Richard C. Byrd	13th Regiment	Colonel T.D. Metrich	Pulaski
1st Division	2nd Brigade Brigadier General Richard C. Byrd	21st Regiment	Colonel M.H. Blue	White
1st Division	2nd Brigade Brigadier General Richard C. Byrd	4th Regiment	Colonel B.H. Ball	Conway
1st Division	2nd Brigade Brigadier General Richard C. Byrd	15th Regiment	Colonel S. Moffit	Pope
1st Division	2nd Brigade Brigadier General Richard C. Byrd	36th Regiment	Colonel William Turner	Perry
1st Division	3rd Brigade	10th Regiment	Col.	Johnson
1st Division	3rd Brigade	17th Regiment	Col.	Scott
1st Division	3rd Brigade	5th Regiment	Col.	Crawford
1st Division	3rd Brigade	7th Regiment	Col.	Franklin
1st Division	4th Brigade	20th Regiment	Col.	Washington
1st Division	4th Brigade	2nd Regiment	Col.	Benton
1st Division	4th Brigade	11th Regiment	Col.	Madison
1st Division	4th Brigade	3rd Regiment	Col.	Carroll
2nd Division	5th Brigade	19th Regiment	Col.	St. Francis
2nd Division	5th Brigade	14th Regiment	Col.	Poinsett
2nd Division	5th Brigade	12th Regiment	Col.	Phillips
2nd Division	5th Brigade	30th Regiment	Col.	Crittenden
2nd Division	5th Brigade	48th Regiment	Col.	Mississippi
2nd Division	5th Brigade	35th Regiment	Col.	Monroe
2nd Division	6th Brigade	27th Regiment	Col.	Bradley
2nd Division	6th Brigade	24th Regiment	Col.	Jefferson
2nd Division	6th Brigade	1st Regiment	Col.	Arkansas
2nd Division	6th Brigade	23rd Regiment	Col.	Chicot
2nd Division	6th Brigade	29th Regiment	Col.	Union
2nd Division	6th Brigade	6th Regiment	Col.	Desha
2nd Division	7th Brigade	43rd Regiment	Col.	Fulton
2nd Division	7th Brigade	42nd Regiment	Col.	Izard
2nd Division	7th Brigade	22nd Regiment	Col.	Van Buren
2nd Division	7th Brigade	31st Regiment	Col.	Marion
2nd Division	7th Brigade	45th Regiment	Col.	Searcy
2nd Division	7th Brigade	41st Regiment	Col.	Newton
2nd Division	8th Brigade	9th Regiment	Col.	Independence
2nd Division	8th Brigade	34th Regiment	Col.	Jackson
2nd Division	8th Brigade	25th Regiment	Col.	Lawrence
2nd Division	8th Brigade	16th Regiment	Col.	Randolph
