Expedition	Crew	Launch date	Flight up	Landing date	Flight down	Duration (days)
Mir EO-1	Leonid Kizim Vladimir Solovyov	13 March 1986 12:33 UTC	Soyuz T-15	16 July 1986 12:34 UTC	Soyuz T-15	125.00 75 on Mir
Mir EO-2	Aleksandr Laveykin	5 February 1987 21:38 UTC	Soyuz TM-2	30 July 1987 01:04 UTC	Soyuz TM-2	174.14
Mir EO-2	Yuri Romanenko	5 February 1987 21:38 UTC	Soyuz TM-2	29 December 1987 09:16 UTC	Soyuz TM-3	326.48
Mir EO-2	Aleksandr Aleksandrov	22 July 1987 01:59 UTC	Soyuz TM-3	29 December 1987 09:16 UTC	Soyuz TM-3	160.30
Mir EO-3	Vladimir Titov Musa Manarov	21 December 1987 11:18 UTC	Soyuz TM-4	21 December 1988 09:57 UTC	Soyuz TM-6	365.94
Mir EO-3	Valeri Polyakov	29 August 1988 04:23 UTC	Soyuz TM-6	Transferred to Mir EO-4	Transferred to Mir EO-4	Transferred to Mir EO-4
Mir EO-4	Aleksandr Volkov Sergei Krikalev	26 November 1988 15:49 UTC	Soyuz TM-7	27 April 1989 02:57 UTC	Soyuz TM-7	151.47
Mir EO-4	Valeri Polyakov	Transferred from Mir EO-3	Transferred from Mir EO-3	27 April 1989 02:57 UTC	Soyuz TM-7	240.94
Mir EO-5	Aleksandr Viktorenko Aleksandr Serebrov	5 September 1989 21:38 UTC	Soyuz TM-8	19 February 1990 04:36 UTC	Soyuz TM-8	166.29
Mir EO-6	Anatoly Solovyev Aleksandr Balandin	11 February 1990 06:16 UTC	Soyuz TM-9	9 August 1990 07:33 UTC	Soyuz TM-9	179.05
Mir EO-7	Gennadi Manakov Gennady Strekalov	1 August 1990 09:32 UTC	Soyuz TM-10	10 December 1990 06:08 UTC	Soyuz TM-10	130.86
Mir EO-8	Viktor Afanasyev Musa Manarov	2 December 1990 08:13 UTC	Soyuz TM-11	26 May 1991 10:04 UTC	Soyuz TM-11	175.08
Mir EO-9	Anatoly Artsebarsky	18 May 1991 12:50 UTC	Soyuz TM-12	10 October 1991 04:12 UTC	Soyuz TM-12	144.64
Mir EO-9	/ Sergei Krikalev	18 May 1991 12:50 UTC	Soyuz TM-12	Transferred to Mir EO-10	Transferred to Mir EO-10	Transferred to Mir EO-10
Mir EO-10	/ Aleksandr Volkov	2 October 1991 05:59 UTC	Soyuz TM-13	25 March 1992 08:51 UTC	Soyuz TM-13	175.12
Mir EO-10	/ Sergei Krikalev	Transferred from Mir EO-9	Transferred from Mir EO-9	25 March 1992 08:51 UTC	Soyuz TM-13	311.83
Mir EO-11	Aleksandr Viktorenko Aleksandr Kaleri	17 March 1992 10:54 UTC	Soyuz TM-14	10 August 1992 01:05 UTC	Soyuz TM-14	145.59
Mir EO-12	Anatoly Solovyev Sergei Avdeyev	27 July 1992 06:08 UTC	Soyuz TM-15	1 February 1993 03:49 UTC	Soyuz TM-15	188.90
Mir EO-13	Gennadi Manakov Aleksandr Poleshchuk	24 January 1993 05:58 UTC	Soyuz TM-16	22 July 1993 06:41 UTC	Soyuz TM-16	179.03
Mir EO-14	Vasili Tsibliyev Aleksandr Serebrov	1 July 1993 14:32 UTC	Soyuz TM-17	14 January 1994 08:18 UTC	Soyuz TM-17	196.74
Mir EO-15	Viktor Afanasyev Yury Usachev	8 January 1994 10:05 UTC	Soyuz TM-18	9 July 1994 10:32 UTC	Soyuz TM-18	182.02
Mir EO-15	Valeri Polyakov	8 January 1994 10:05 UTC	Soyuz TM-18	Transferred to Mir EO-16	Transferred to Mir EO-16	Transferred to Mir EO-16
Mir EO-16	Yuri Malenchenko Talgat Musabayev	1 July 1994 12:24 UTC	Soyuz TM-19	4 November 1994 11:18 UTC	Soyuz TM-19	125.95
Mir EO-16	Valeri Polyakov	Transferred from Mir EO-15	Transferred from Mir EO-15	Transferred to Mir EO-17	Transferred to Mir EO-17	Transferred to Mir EO-17
Mir EO-17	Aleksandr Viktorenko Yelena Kondakova	3 October 1994 22:42 UTC	Soyuz TM-20	22 March 1995 04:04 UTC	Soyuz TM-20	169.22
