Class	Number(s)	Quantity	Year(s) of Manufacture	Type
C II.1	names	68	1861–1868	C n2
C III	names	239	1868–1879	C n2
C III	names	14	1872–1874	C n2
C IV Zw	names, 1401–1441, 1452–1462	87	1884–1892	C n2
C IV Vbd	names, 1442–1451, 1463–1550	100	1889–1897	C n2v
C VI	1551–1633	83	1899–1905	1′C n2v
E I	2051–2062	12	1895–1896	1′D n2
E I	2063–2064	2	1896–1897	1′D n4v
E I	2065–2084, 2087–2099, 2116–2130	48	1899–1901	1′D n2
E I (Baldwin)	2085–2086	2	1899	1′D n4v
BB I	2100	1	1896	B′B n4v
G 3/4 N	1634–1670	37	1907–1909	1′C n2v
G 3/4 H	7001–7165	165	1919–1921	1′C h2
G 3/4 H	7166–7225	60	1922–1923	1′C h2
G 4/5 N	2131–2137	7	1905–1906	1′D n2
G 4/5 H	5151–5160, 5501–5695, 5211–5235	230	1915–1919	1′D h4v
G 5/5	5801–5815	15	1911	E h4v
G 5/5	5816–5895	80	1920–1924	E h4v
