Outcome	Date	Tournament	Surface	Opponent	Score
Runner-up	18 September 1995	Cluj , Romania	Clay	Raluca Sandu	6–3, 6–3
Winner	4 December 1995	São Paulo , Brazil	Hard	Meghann Shaughnessy	6–0, 6–2
Winner	8 July 1996	Vigo , Spain	Clay	Gisela Riera	6–1, 6–2
Winner	25 November 1996	São Paulo , Brazil	Hard	Keirsten Alley	6–7(2), 6–3, 6–4
Winner	2 December 1996	São Paulo , Brazil	Hard	Keirsten Alley	6–3, 6–1
Winner	7 April 1997	Viña del Mar , Chile	Clay	Celeste Contin	6–1, 6–4
Winner	26 May 1997	Barcelona , Spain	Clay	Marta Cano	6–2, 6–3
Runner-up	28 September 1998	Córdoba, Argentina	Clay	Erica Krauth	2–6, 6–1, 6–4
Winner	30 November 1998	Guadalajara , Mexico	Clay	Vanessa Menga	7–5, 6–3
Winner	13 December 1999	New Delhi, India	Hard	Tathiana Garbin	6–2, 1–1 ret.
Runner-up	6 March 2000	Haikou , China	Hard	Yi Jing-Qian	4–6, 6–0, 6–1
Winner	27 November 2000	Tucson , USA	Hard	Alina Jidkova	6–7(3), 6–4, 6–3
Winner	21 May 2002	Torino , Italy	Clay	Maja Palaveršić Coopersmith	4–6, 6–1, 6–0
Runner-up	12 July 2004	Campos do Jordão , Brazil	Hard	Maria Fernanda Alves	7–5, 7–6(2)
Winner	16 August 2004	Kędzierzyn-Koźle , Poland	Clay	Veronika Raimrova	6–4, 4–6, 6–2
Winner	30 August 2005	Gliwice , Poland	Clay	Natalia Kolat	6–1, 6–3
Winner	21 May 2006	Budapest , Hungary	Clay	Nataša Zorić	6–4, 7–5
Winner	26 June 2006	Salzburg , Austria	Clay	Sandra Klemenschits	walkover
Winner	28 April 2008	Bell Ville , Argentina	Clay	Aranza Salut	6–2, 6–2
Runner-up	11 August 2008	Palić , Serbia	Clay	Lenka Wienerová	7–5, 7–6(6)
Runner-up	29 June 2009	Stuttgart-Vaihingen , Germany	Clay	Zarina Diyas	6–1, 6–2
Runner-up	31 August 2009	Maribor , Slovenia	Clay	Simona Halep	6–4, 6–2
