Race	Date	Location	Pole Position	Fastest Lap	Race Winner	Constructor	Report
Argentine Grand Prix	9 January	Buenos Aires	James Hunt	James Hunt	Jody Scheckter	Wolf - Ford	Report
Brazilian Grand Prix	23 January	Interlagos	James Hunt	James Hunt	Carlos Reutemann	Ferrari	Report
South African Grand Prix	5 March	Kyalami	James Hunt	John Watson	Niki Lauda	Ferrari	Report
United States Grand Prix West	3 April	Long Beach	Niki Lauda	Niki Lauda	Mario Andretti	Lotus - Ford	Report
Spanish Grand Prix	8 May	Jarama	Mario Andretti	Jacques Laffite	Mario Andretti	Lotus - Ford	Report
Monaco Grand Prix	22 May	Monaco	John Watson	Jody Scheckter	Jody Scheckter	Wolf - Ford	Report
Belgian Grand Prix	5 June	Zolder	Mario Andretti	Gunnar Nilsson	Gunnar Nilsson	Lotus - Ford	Report
Swedish Grand Prix	19 June	Anderstorp	Mario Andretti	Mario Andretti	Jacques Laffite	Ligier - Matra	Report
French Grand Prix	3 July	Dijon-Prenois	Mario Andretti	Mario Andretti	Mario Andretti	Lotus - Ford	Report
British Grand Prix	16 July	Silverstone	James Hunt	James Hunt	James Hunt	McLaren - Ford	Report
German Grand Prix	31 July	Hockenheimring	Jody Scheckter	Niki Lauda	Niki Lauda	Ferrari	Report
Austrian Grand Prix	14 August	Österreichring	Niki Lauda	John Watson	Alan Jones	Shadow - Ford	Report
Dutch Grand Prix	28 August	Zandvoort	Mario Andretti	Niki Lauda	Niki Lauda	Ferrari	Report
Italian Grand Prix	11 September	Monza	James Hunt	Mario Andretti	Mario Andretti	Lotus - Ford	Report
United States Grand Prix	2 October	Watkins Glen	James Hunt	Ronnie Peterson	James Hunt	McLaren - Ford	Report
Canadian Grand Prix	9 October	Mosport	Mario Andretti	Mario Andretti	Jody Scheckter	Wolf - Ford	Report
Japanese Grand Prix	23 October	Fuji Speedway	Mario Andretti	Jody Scheckter	James Hunt	McLaren - Ford	Report
