Hull Number	Name	Builder	Laid down	Launched	Completed
CA 122	USSOregon City	Bethlehem Steel	8 April 1944	9 June 1945	16 February 1946
CA 123	USSAlbany	Bethlehem Steel	6 Mar 1944	30 Jun 1945	11 Jun 1946
CA-124	USSRochester	Bethlehem Steel	29 May 1944	28 August 1945	20 December 1946
CA-125	USSNorthampton	Bethlehem Steel	31 August 1944	27 January 1951	7 March 1953
CA-126	USS Cambridge	Bethlehem Steel	16 December 1944	N/A	N/A
CA-127	USS Bridgeport	Bethlehem Steel	13 January 1945	N/A	N/A
CA-128	USS Kansas City	Bethlehem Steel	N/A	N/A	N/A
CA-129	USS Tulsa	Bethlehem Steel	N/A	N/A	N/A
CA-137	USS Norfolk	Philadelphia Naval Shipyard	N/A	N/A	N/A
CA-138	USS Scranton	Philadelphia Naval Shipyard	N/A	N/A	N/A
