Week	Date	Opponent	Result	Attendance
1	September 16, 1973	San Diego Chargers	W 38-0	53,589
2	September 23, 1973	at St. Louis Cardinals	L 34-27	50,316
3	September 30, 1973	at Philadelphia Eagles	W 28-7	64,147
4	October 8, 1973	Dallas Cowboys	W 14-7	54,314
5	October 14, 1973	at New York Giants	W 21-3	70,168
6	October 21, 1973	St. Louis Cardinals	W 31-13	54,381
7	October 28, 1973	at New Orleans Saints	L 19-3	66,315
8	November 5, 1973	at Pittsburgh Steelers	L 21-16	49,220
9	November 11, 1973	San Francisco 49ers	W 33-9	54,381
10	November 18, 1973	Baltimore Colts	W 22-14	52,675
11	November 22, 1973	at Detroit Lions	W 20-0	46,807
12	December 2, 1973	New York Giants	W 27-24	53,590
13	December 9, 1973	at Dallas Cowboys	L 27-7	62,195
14	December 16, 1973	Philadelphia Eagles	W 38-20	49,484
