1935	1936	1937	1938	1939	1940	1941	1943	1945	1946	1947	1948	1949	1950	1951	1952	1953
DNF	1	1	DNE	2	9	N/A	N/A	N/A	1	2	8	2	2	10	5	4
1	3	4	—	4	2	N/A	N/A	N/A	0	2	0	0	1	0	0	0
1	1	1	—	1	1	N/A	N/A	N/A	1	1	3	2	2	NR	3	3
N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DNE	DNE	DNF-12A	1	DNE	N/A	N/A	N/A	N/A	N/A	DNE	1	2	DNF-12	4	4	11
—	—	1	2	—	N/A	N/A	N/A	N/A	N/A	—	7	1	1	0	0	0
—	—	NR	1	—	N/A	N/A	N/A	N/A	N/A	—	1	2	NR	2	6	—
N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9
DNE	DNE	N/A	N/A	N/A	N/A	DNE	N/A	DNE	DNE	DNE	DNE	N/A	DNE	N/A	N/A	N/A
—	—	N/A	N/A	N/A	N/A	—	N/A	—	—	—	—	N/A	—	N/A	N/A	N/A
