Tie no	Home team	Score	Away team	Date
1	Bournemouth & Boscombe Athletic	2–0	Accrington Stanley	5 January 1957
2	Bristol City	4–1	Rotherham United	5 January 1957
3	Burnley	7–0	Chesterfield	5 January 1957
4	Bury	1–3	Portsmouth	5 January 1957
5	Preston North End	0–0	Sheffield Wednesday	5 January 1957
Replay	Sheffield Wednesday	2–2	Preston North End	9 January 1957
2nd replay	Preston North End	5–1	Sheffield Wednesday	14 January 1957
6	Notts County	1–3	Rhyl	5 January 1957
7	Nottingham Forest	6–0	Goole Town	5 January 1957
8	Bolton Wanderers	2–3	Blackpool	5 January 1957
9	Wolverhampton Wanderers	5–3	Swansea Town	5 January 1957
10	Middlesbrough	1–1	Charlton Athletic	5 January 1957
Replay	Charlton Athletic	2–3	Middlesbrough	10 January 1957
11	Sunderland	4–0	Queens Park Rangers	5 January 1957
12	Luton Town	2–2	Aston Villa	5 January 1957
Replay	Aston Villa	2–0	Luton Town	7 January 1957
13	Everton	1–0	Blackburn Rovers	5 January 1957
14	Doncaster Rovers	1–1	West Bromwich Albion	5 January 1957
Replay	West Bromwich Albion	2–0	Doncaster Rovers	9 January 1957
15	Wrexham	1–1	Reading	5 January 1957
Replay	Reading	1–2	Wrexham	9 January 1957
16	Ipswich Town	2–3	Fulham	5 January 1957
17	Newcastle United	1–1	Manchester City	5 January 1957
Replay	Manchester City	4–5	Newcastle United	9 January 1957
18	Tottenham Hotspur	2–0	Leicester City	5 January 1957
19	Barnsley	3–3	Port Vale	5 January 1957
Replay	Port Vale	0–1	Barnsley	7 January 1957
20	West Ham United	5–3	Grimsby Town	5 January 1957
21	Millwall	2–0	Crystal Palace	5 January 1957
22	Hull City	3–4	Bristol Rovers	5 January 1957
23	Carlisle United	3–3	Birmingham City	5 January 1957
Replay	Birmingham City	2–0	Carlisle United	9 January 1957
24	Southend United	2–1	Liverpool	5 January 1957
25	Hartlepools United	3–4	Manchester United	5 January 1957
26	Huddersfield Town	0–0	Sheffield United	5 January 1957
Replay	Sheffield United	1–1	Huddersfield Town	7 January 1957
2nd replay	Huddersfield Town	2–1	Sheffield United	14 January 1957
27	Newport County	3–3	Southampton	5 January 1957
Replay	Southampton	0–1	Newport County	9 January 1957
28	Arsenal	4–2	Stoke City	5 January 1957
29	Leeds United	1–2	Cardiff City	5 January 1957
30	New Brighton	2–1	Torquay United	5 January 1957
31	Peterborough United	2–2	Lincoln City	5 January 1957
Replay	Lincoln City	4–5	Peterborough United	9 January 1957
32	Leyton Orient	0–2	Chelsea	5 January 1957
