Country	Total population (1000)	Total Foreign-born (1000)	Born in other EU state (1000)	Born in a non EU state (1000)
EU 27	501,098	47,348	15,980	31,368
Germany	81,802	9,812	3,396	6,415
France	64,716	7,196	2,118	5,078
United Kingdom	62,008	7,012	2,245	4,767
Spain	45,989	6,422	2,328	4,094
Italy	60,340	4,798	1,592	3,205
Netherlands	16,575	1,832	428	1,404
Greece	11,305	1,256	315	940
Sweden	9,340	1,337	477	859
Austria	8,367	1,276	512	764
Belgium (2007)	10,666	1,380	695	685
Portugal	10,637	793	191	602
Denmark	5,534	500	152	348
