Date	Venue	Score	Result	Competition
25 August 2007	National Soccer Stadium , Apia	1–0	12–1	2007 South Pacific Games
25 August 2007	National Soccer Stadium, Apia	2–0	12–1	2007 South Pacific Games
3 September 2007	National Soccer Stadium, Apia	1–0	3–0	2007 South Pacific Games
3 September 2007	National Soccer Stadium, Apia	2–0	3–0	2007 South Pacific Games
7 July 2011	Lawson Tama Stadium , Honiara	2–0	2–1	Friendly
27 August 2011	Stade Rivière Salée , Nouméa	3–0	7–0	2011 Pacific Games
27 August 2011	Stade Rivière Salée, Nouméa	4–0	7–0	2011 Pacific Games
27 August 2011	Stade Rivière Salée, Nouméa	7–0	7–0	2011 Pacific Games
30 August 2011	Stade Rivière Salée, Nouméa	1–0	4–0	2011 Pacific Games
3 September 2011	Stade Rivière Salée, Nouméa	1–0	6–1	2011 Pacific Games
3 September 2011	Stade Rivière Salée, Nouméa	4–0	6–1	2011 Pacific Games
2 June 2012	Lawson Tama Stadium, Honiara	1–0	1–0	2012 OFC Nations Cup
6 June 2012	Lawson Tama Stadium, Honiara	1–1	1–1	2012 OFC Nations Cup
10 June 2012	Lawson Tama Stadium, Honiara	2–3	3–4	2012 OFC Nations Cup
10 June 2012	Lawson Tama Stadium, Honiara	3–3	3–4	2012 OFC Nations Cup
