Round	Overall	Player	Position	School/Club Team
1	5	Mack Mitchell	Defensive End	Houston
3	57	Oscar Roan	Tight End	SMU
4	82	Tony Peters	Cornerback	Oklahoma
5	109	John Zimba	Defensive End	Villanova
5	119	Jim Cope	Linebacker	Ohio State
6	150	Charles Miller	Cornerback	West Virginia
6	154	Henry Hynoski	Running Back	Temple
7	161	Merle Wang	Offensive Tackle	TCU
8	186	Barry Santini	Tight End	Purdue
9	213	Larry Poole	Running Back	Kent State
9	215	Floyd Hogan	Safety	Arkansas
10	238	Stan Lewis	Defensive End	Wayne
11	265	Tom Marinelli	Guard	Boston College
12	290	Dick Ambrose	Linebacker	Virginia
13	317	Willie Armstead	Wide Receiver	Utah
14	341	Tim Barrett	Running Back	John Carroll
15	369	Willie Moore	Defensive Tackle	Johnson C. Smith
16	394	J.K. McKay	Wide Receiver	USC
17	421	Dave Graf	Linebacker	Penn State
