Year	Player	Country	Team	Position
1993	Mario Lemieux	Canada	Pittsburgh Penguins	Center
1994	Mario Lemieux	Canada	Pittsburgh Penguins	Center
1995	Mark Messier	Canada	New York Rangers	Center
1996	Eric Lindros	Canada	Philadelphia Flyers	Center
1997	Joe Sakic	Canada	Colorado Avalanche	Center
1998	Mario Lemieux	Canada	Pittsburgh Penguins	Center
1999	Dominik Hasek	Czech Republic	Buffalo Sabres	Goaltender
2000	Dominik Hasek	Czech Republic	Buffalo Sabres	Goaltender
2001	Chris Pronger	Canada	St. Louis Blues	Defenseman
2002	Jarome Iginla	Canada	Calgary Flames	Right Wing
2003	Jean-Sebastien Giguere	Canada	Mighty Ducks of Anaheim	Goaltender
2004	Jarome Iginla	Canada	Calgary Flames	Right Wing
2005	No award given ( 2004–05 NHL lockout )	No award given ( 2004–05 NHL lockout )	No award given ( 2004–05 NHL lockout )	No award given ( 2004–05 NHL lockout )
2006	Jaromír Jágr	Czech Republic	New York Rangers	Right Wing
2007	Sidney Crosby	Canada	Pittsburgh Penguins	Center
2008	Sidney Crosby	Canada	Pittsburgh Penguins	Center
2009	Sidney Crosby	Canada	Pittsburgh Penguins	Center
2010	Sidney Crosby	Canada	Pittsburgh Penguins	Center
2011	Tim Thomas	United States	Boston Bruins	Goaltender
2012	Jonathan Quick	United States	Los Angeles Kings	Goaltender
2013	Sidney Crosby	Canada	Pittsburgh Penguins	Center
