Outcome	Year	Championship	Surface	Partner	Opponents	Score
Runner-up	1995	du Maurier Open	Hard	Iva Majoli	Gabriela Sabatini Brenda Schultz-McCarthy	4–6, 6–0, 6–3
Runner-up	1996	Italian Open	Clay	Gigi Fernández	Arantxa Sánchez Vicario Irina Spîrlea	6–4, 3–6, 6–3
Runner-up	1996	German Open	Clay	Helena Suková	Meredith McGrath Larisa Neiland	6–1, 5–7, 7–6 (7–4)
Winner	1996	Barilla Indoors	Hard	Helena Suková	Nicole Arendt Natasha Zvereva	7–5, 6–4
Runner-up	1997	Tokyo, Japan	Carpet	Gigi Fernández	Lindsay Davenport Natasha Zvereva	6–4, 6–3
Winner	1997	Hilton Head	Clay	Mary Joe Fernández	Lindsay Davenport Jana Novotná	7–5, 4–6, 6–1
Winner	1997	Barilla Indoors	Hard	Arantxa Sánchez Vicario	Larisa Neiland Helena Suková	4–6, 6–4, 6–1
Winner	1998	Tokyo, Japan	Carpet	Mirjana Lučić	Lindsay Davenport Natasha Zvereva	7–5, 6–4
Winner	1998	Lipton Championships	Hard	Jana Novotná	Arantxa Sánchez Vicario Natasha Zvereva	6–2, 3–6, 6–3
Winner	1998	du Maurier Open	Hard	Jana Novotná	Yayuk Basuki Caroline Vis	6–3, 6–4
Runner-up	1999	Tokyo, Japan	Carpet	Jana Novotná	Lindsay Davenport Natasha Zvereva	6–2, 6–3
Winner	1999	Indian Wells, U.S.	Hard	Anna Kournikova	Mary Joe Fernández Jana Novotná	6–2, 6–2
Winner	1999	Ericsson Open	Hard	Anna Kournikova	Mary Joe Fernández Monica Seles	6–0, 4–6, 7–6
Winner	1999	Italian Open	Clay	Anna Kournikova	Alexandra Fusai Nathalie Tauziat	6–4, 6–1
Winner	2000	Tokyo, Japan	Carpet	Mary Pierce	Alexandra Fusai Nathalie Tauziat	6–4, 6–1
Winner	2000	du Maurier Open	Hard	Nathalie Tauziat	Julie Halard-Decugis Ai Sugiyama	6–3, 3–6, 6–4
Winner	2000	Barilla Indoors	Hard	Anna Kournikova	Kimberly Po Anne-Gaëlle Sidot	6–3, 6–4
Runner-up	2000	Kremlin Cup	Hard	Anna Kournikova	Julie Halard-Decugis Ai Sugiyama	4–6, 6–4, 7–6 (7–5)
