Season	Level	Goals	Points	Domestic Cup
1992	3rd	21–10	21	Round of 32
1992–93	2nd	29–30	33	Round of 64
1993–94	2nd	32–33	22	Round of 16
1994–95	2nd	64–31	39	Round of 64
1995	2nd	25–15	26	Round of 16
1996	2nd	45–17	45	Round of 16
1997	1st	32–61	30	Round of 32
1998	1st	14–63	14	Round of 16
1999	2nd	57–29	59	Round of 32
2000	1st	19–66	17	Round of 32
2001	2nd	33–42	32	Round of 16
2002	2nd	27–41	35	Round of 32
2003	2nd	37–39	42	Round of 32
2004	2nd	33–47	34	Round of 64
2005	2nd	35–43	28	Round of 16
2006	2nd	32–44	26	Round of 32
2007	2nd	22–48	20	Round of 64
2008	2nd	21–36	25	Round of 32
2009	2nd	20–32	29	Round of 16
2010	2nd	23–48	28	Round of 32
