Place	Player	Country	Score	To par	Money ( $ )
T1	Fuzzy Zoeller	United States	70-71-69-70=280	–8	Playoff
T1	Tom Watson	United States	68-71-70-71=280	–8	Playoff
T1	Ed Sneed	United States	68-67-69-76=280	–8	Playoff
4	Jack Nicklaus	United States	69-71-72-69=281	–7	15,000
5	Tom Kite	United States	71-72-68-72=283	–5	13,000
6	Bruce Lietzke	United States	67-75-68-74=284	–4	11,500
T7	Craig Stadler	United States	69-66-74-76=285	–3	9,000
T7	Leonard Thompson	United States	68-70-73-74=285	–3	9,000
T7	Lanny Wadkins	United States	73-69-70-73=285	–3	9,000
T10	Hubert Green	United States	74-69-72-71=286	–2	6,500
T10	Gene Littler	United States	74-71-69-72=286	–2	6,500
