Pos	Driver	Starts	Finishes	Wins	Podiums	Stage wins	Power stage wins	Points
1	Sébastien Loeb	13	11	5	9	65	3	222
2	Mikko Hirvonen	13	12	2	8	36	3	214
3	Sébastien Ogier	13	11	5	7	56	4	196
4	Jari-Matti Latvala	13	13	1	8	67	1	172
5	Petter Solberg	13	10	0	2	30	1	110
6	Mads Østberg	12	11	0	2	4	0	88
7	Matthew Wilson	13	11	0	0	0	0	63
8	Dani Sordo	6	5	0	2	5	0	59
9	Henning Solberg	12	10	0	1	0	0	59
10	Kimi Räikkönen	9	6	0	0	0	0	34
11	Kris Meeke	6	2	0	0	2	1	25
12	Dennis Kuipers	11	9	0	0	0	0	21
13	Federico Villagra	7	6	0	0	0	0	20
14	Khalid Al Qassimi	8	8	0	0	0	0	15
15	Ott Tänak	8	7	0	0	0	0	15
16	Juho Hänninen	7	7	0	0	0	0	14
17	Evgeny Novikov	8	5	0	0	0	0	12
18	Hayden Paddon	5	5	0	0	0	0	10
19	Martin Prokop	9	9	0	0	0	0	7
20	Per-Gunnar Andersson	3	3	0	0	4	0	6
21	Michał Kościuszko	6	6	0	0	0	0	6
22	Ken Block	7	6	0	0	0	0	6
23	Armindo Araújo	8	4	0	0	0	0	5
24	Oleksandr Saliuk, Jr.	5	4	0	0	0	0	4
25	Peter van Merksteijn, Jr.	10	4	0	0	0	0	2
26	Benito Guerra	7	5	0	0	0	0	2
27	Pierre Campana	2	2	0	0	0	0	2
28	Bernardo Sousa	8	5	0	0	0	0	1
