County	Obama%	Obama#	McCain%	McCain#	Total
Bernalillo	60.66%	168406	39.34%	109212	277618
Catron	32.07%	659	67.93%	1396	2055
Chaves	37.45%	8160	62.55%	13630	21790
Cibola	64.91%	3176	35.09%	1717	4893
Colfax	55.31%	3465	44.69%	2800	6265
Curry	32.69%	4655	67.31%	9585	14240
DeBaca	34.62%	358	65.38%	676	1034
Doña Ana	58.64%	38574	41.36%	27211	65785
Eddy	36.89%	7289	63.11%	12468	19757
Grant	60.06%	8092	39.94%	5381	13473
Guadalupe	71.47%	1541	28.53%	615	2156
Harding	41.76%	256	58.24%	357	613
Hidalgo	51.46%	990	48.54%	934	1924
Lea	27.65%	5084	72.35%	13301	18385
Lincoln	37.09%	3482	62.91%	5906	9388
Los Alamos	53.38%	5709	46.62%	4986	10695
Luna	52.65%	4289	47.35%	3857	8146
McKinley	72.12%	15993	27.88%	6183	22176
Mora	79.24%	2156	20.76%	565	2721
Otero	40.21%	8602	59.79%	12791	21393
Quay	39.55%	1546	60.45%	2363	3909
Rio Arriba	75.51%	11245	24.49%	3648	14893
Roosevelt	34.63%	2270	65.37%	4285	6555
San Juan	39.16%	17645	60.84%	27418	45063
San Miguel	80.71%	10128	19.29%	2421	12549
Sandoval	56.33%	32102	43.67%	24887	56989
Santa Fe	77.70%	53802	22.30%	15443	69245
Sierra	43.85%	2351	56.15%	3011	5362
Socorro	60.66%	4643	39.34%	3011	7654
Taos	82.56%	13384	17.44%	2827	16211
Torrance	45.19%	3068	54.81%	3721	6789
Union	28.77%	492	71.23%	1218	1710
