Competition	Round	Opposition	Home Leg	Away Leg
Inter-Cities Fairs Cup	First round	Valencia	2-2	2-4
UEFA Cup Winners' Cup	Preliminary round	Basel	5-1	5-0
UEFA Cup Winners' Cup	First round	Dinamo Zagreb	3-0	1-2
UEFA Cup Winners' Cup	Quarter-finals	Slovan Bratislava	1-0	1-0
UEFA Cup Winners' Cup	Semi-finals	MTK Budapest	3-0	0-4
Inter-Cities Fairs Cup	First round	Leixões	1-1	3-0
Inter-Cities Fairs Cup	Second round	Barcelona	0-0	1-3
UEFA Cup Winners' Cup	First round	Go Ahead Eagles	6-0	1-0
UEFA Cup Winners' Cup	Second round	AGF Århus	1-0	2-0
UEFA Cup Winners' Cup	Quarter-finals	Dynamo Kyiv	3-0	1-1
UEFA Cup Winners' Cup	Semi-finals	Liverpool	1-0	0-2
European Cup	First round	FC Zürich	2-0	3-0
European Cup	Second round	Nantes	3-1	3-1
European Cup	Quarter-finals	Vojvodina	2-0	0-1
European Cup	Semi-finals	Dukla Prague	3-1	0-0
European Cup	Final	Internazionale	2-1 (Winner)	2-1 (Winner)
European Cup	First round	Dynamo Kyiv	1-1	1-2
European Cup	First round	Saint-Étienne	4-0	0-2
European Cup	Second round	FK Red Star	5-1	1-1
European Cup	Quarter-finals	Milan	0-0	0-1
European Cup	First round	Basel	0-0	2-0
European Cup	Second round	Benfica	3-0	0-3
European Cup	Quarter-finals	Fiorentina	3-0	0-1
European Cup	Semi-finals	Leeds United	1-0	2-1
European Cup	Final	Feyenoord	1-2 (Runner-Up)	1-2 (Runner-Up)
European Cup	First round	KPV	9-0	5-0
European Cup	Second round	Waterford	7-0	3-2
European Cup	Quarter-finals	Ajax	1-0	0-3
European Cup	First round	Boldklubben 1903	3-0	1-2
European Cup	Second round	Sliema Wanderers	3-1	3-0
European Cup	Quarter-finals	Újpest	2-1	1-1
European Cup	Semi-finals	Internazionale	0-0	0-0
European Cup	First round	Rosenborg	2-1	3-1
European Cup	Second round	Újpest FC	2-1	0-3
European Cup	First round	TPS	6-1	3-0
European Cup	Second round	Vejle BK	0-0	1-0
European Cup	Quarter-finals	Basel	4-2	2-3
European Cup	Semi-finals	Atlético Madrid	0-0	0-2
European Cup	First round	Olympiacos	1-1	0-2
UEFA Cup Winners' Cup	First Round	Valur	2-0	7-0
UEFA Cup Winners' Cup	Second Round	Boavista	0-0	3-1
UEFA Cup Winners' Cup	Quarter-finals	BSG Sachsenring Zwickau	1-1	0-1
UEFA Cup	First round	Wisła Kraków	2-2	0-2
European Cup	First round	Jeunesse Esch	5-0	6-1
European Cup	Second round	FC Wacker Innsbruck	2-1	0-3
European Cup	First round	KF Partizani Tirana	4-1	0-1
European Cup	Second round	Dundalk	3-2	0-0
European Cup	Quarter-finals	Real Madrid	2-0	0-3
UEFA Cup Winners' Cup	Preliminary round	Diósgyőri VTK BFC	6-0	1-2
UEFA Cup Winners' Cup	First round	Politehnica Timişoara	2-1	0-1
European Cup	First round	Juventus	1-0	0-2
European Cup	First round	Ajax	2-2	2-1
European Cup	Second round	Real Sociedad	2-1	0-2
UEFA Cup	First round	Aarhus Gymnastik Forening	1-0	4-1
UEFA Cup	Second round	Sporting CP	5-0	0-2
UEFA Cup	Third round	Nottingham Forest	1-2	0-0
UEFA Cup Winners' Cup	First round	Gent	3-0	0-1
UEFA Cup Winners' Cup	Second round	Rapid Vienna	0-1	1-3
UEFA Cup Winners' Cup	First round	Atlético Madrid	1-1	1-2
European Cup	First round	Shamrock Rovers	1-0	2-0
European Cup	Second round	Dynamo Kyiv	1-1	1-3
UEFA Cup	First round	Borussia Dortmund	2-1	0-2
European Cup	First round	Budapest Honvéd	4-0	0-1
European Cup	Second round	Werder Bremen	0-0	0-1
UEFA Cup Winners' Cup	First Round	Partizan	5-4	1-2
UEFA Cup	First round	Germinal Ekeren	2-0	1-1
UEFA Cup	Second round	Neuchâtel Xamax	1-0	1-5
UEFA Cup	First round	Köln	3-0	0-2
UEFA Cup	Second round	Borussia Dortmund	0-1	1-2
UEFA Cup	First round	BSC Young Boys	0-0	1-0
UEFA Cup	Second round	Sporting CP	1-0	0-2
UEFA Cup Winners' Cup	First round	Dinamo Batumi	3-2	4-0
UEFA Cup Winners' Cup	Second round	Paris Saint-Germain	0-3	0-1
UEFA Cup	Qualifying round	FC Košice	0-0	1-0
UEFA Cup	First round	Hamburg	0-2	0-2
UEFA Cup	First qualifying round	Inter CableTel	3-0	5-0
UEFA Cup	Second qualifying round	FC Tirol Innsbruck	2-2	6-3
UEFA Cup	First round	Liverpool	2-2	0-0
UEFA Champions League	First qualifying round	St Patrick's Athletic	0-0	2-0
UEFA Champions League	Second qualifying round	Dinamo Zagreb	1-0	0-3
UEFA Cup	First round	Vitória SC	2-1	2-1
UEFA Cup	Second round	FC Zürich	1-1	2-4
UEFA Cup	Qualifying round	Cwmbran Town	6-0	4-0
UEFA Cup	First round	Hapoel Tel Aviv	2-0	1-0
UEFA Cup	Second round	Lyon	0-1	0-1
UEFA Cup	Qualifying round	Jeunesse Esch	4-0	7-0
UEFA Cup	First round	HJK Helsinki	2-0	1-2
UEFA Cup	Second round	Bordeaux	1-1	1-2
UEFA Champions League	Third qualifying round	Ajax	0-1	3-1
UEFA Champions League	Group E	Juventus	4-3	2-3
