Team	ACC Regular Season	ACC %	ACC Home	ACC Road	All Games	All Games %	All Home	All Road	All Neutral
North Carolina	14–2	.875	6–2	8–0	35–2	.946	14–2	13–0	9–1
Duke	13–3	.813	7–1	6–2	28–6	.824	15–1	8–2	5–3
Clemson	10–6	.625	7–1	3–5	24–10	.706	14–2	6–5	4–3
Virginia Tech	9–7	.563	6–2	3–5	21–14	.600	14–3	4–8	3–3
Miami	8–8	.500	6–2	2–6	23–11	.676	14–2	4–6	5–3
Maryland	8–8	.500	4–4	4–4	19–15	.559	13–6	6–5	0–4
Georgia Tech	7–9	.438	3–5	4–4	15–17	.469	6–7	6–8	3–2
Wake Forest	7–9	.438	6–2	1–7	17–13	.567	15–2	2–10	0–1
Florida State	7–9	.438	4–4	3–5	19–15	.559	13–5	4–7	2–3
Virginia	5–11	.313	3–5	2–6	17–16	.515	13–7	4–7	0–2
Boston College	4–12	.250	3–5	1–7	14–17	.452	11–8	2–7	1–2
