Res.	Record	Opponent	Method	Event	Round	Location
Win	21-12-1	Angelo Duarte	Submission (rear-naked choke)	ROF 42	1	1STBANK CENTER, BROOMFIELD, United States
Loss	20-12-1	Kazunori Yokota	KO (punches)	World Victory Road Presents: Sengoku 10	1	Saitama , Japan
Loss	20-11-1	Jorge Masvidal	TKO (punches)	World Victory Road Presents: Sengoku 5	1	Tokyo , Japan
Loss	20-10-1	Mizuto Hirota	KO (superman punch)	World Victory Road Presents: Sengoku 4	2	Saitama , Japan
Win	20-9-1	Deividas Taurosevičius	Decision (unanimous)	IFL - Connecticut	5	Uncasville, Connecticut , United States
Win	19-9-1	John Gunderson	Decision (unanimous)	IFL - Las Vegas	3	Las Vegas, Nevada, United States
Win	18-9-1	Chris Horodecki	TKO (punches)	IFL - World Grand Prix Finals	1	Uncasville, Connecticut, United States
Win	17-9-1	Aaron Riley	Decision (unanimous)	IFL - 2007 Team Championship Final	3	Hollywood, Florida , United States
Win	16-9-1	Savant Young	Decision (unanimous)	IFL - Everett	3	Everett, Washington , United States
Win	15-9-1	Joe Sampieri	Decision (unanimous)	IFL - Connecticut	3	Uncasville, Connecticut , United States
Loss	14-9-1	Bart Palaszewski	KO (punch)	IFL - Championship Final	3	Uncasville, Connecticut , United States
Loss	14-8-1	Chris Horodecki	TKO (head kick & punches)	IFL-World Championship Semifinals	2	Uncasville, CT , United States
Win	14-7-1	Cam Ward	TKO (punches)	IFL - Portland	2	Portland, Oregon, United States
Loss	13-7-1	Hermes França	KO (punches)	AFC 16-Absolute Fighting Championships 16	1	Boca Raton, Florida , United States
Win	13-6-1	Dave Cochran	Submission (rear naked choke)	SF 15-Tribute	1	Portland, Oregon, United States
Loss	12-6-1	Kuniyoshi Hironaka	Submission (armbar)	MARS-MARS	2	Tokyo, Japan
Loss	12-5-1	Rich Clementi	Submission (armbar)	AFC 14-Absolute Fighting Championships 14	1	Fort Lauderdale, Florida , United States
Loss	12-4-1	David Gardner	Submission (broken rib)	FFC 15-Fiesta Las Vegas	1	Las Vegas, Nevada, United States
Draw	12-3-1	Gesias Cavalcante	Draw	SF 11-Rumble at the Rose Garden	3	Portland, Oregon, United States
Win	12-3	Hiroyuki Abe	TKO (punches)	Euphoria-USA vs World	2	Atlantic City, New Jersey, United States
Loss	11-3	Keith Wilson	Decision (unanimous)	SF 8-Justice	3	Gresham, Oregon , United States
Win	11-2	David Gaona	TKO (punches)	Euphoria-Road to the Titles	1	Atlantic City, New Jersey , United States
Win	10-2	Jason Dent	TKO (punches)	APEX-Genesis	1	Montreal, Quebec ,Canada
Win	9-2	Roger Huerta	Verbal Submission (dislocated jaw)	SB 36-SuperBrawl 36	1	Honolulu, Hawaii, United States
Win	8-2	Deshaun Johnson	Submission (rear naked choke)	SB 36-SuperBrawl 36	1	Honolulu, Hawaii, United States
Win	7-2	Mike Aina	Decision (split)	SB 36-SuperBrawl 36	3	Honolulu, Hawaii, United States
Win	6-2	Gil Castillo	Decision (majority)	WEC 10	3	Lemoore, California , United States
Loss	5-2	Ronald Jhun	TKO (corner stoppage)	ROTR 5-Rumble on the Rock 5	2	Honolulu, Hawaii, United States
Win	5-1	Eddy Ellis	KO (punch)	SF 1-Revolution	1	Portland, Oregon, United States
Win	4-1	Hank Weis	Submission (punches)	KC 8-Kickdown Classic 8	1	Denver, Colorado, United States
Win	3-1	Jeremy Saunders	TKO (punches)	URC 6-Ultimate Ring Challenge 6	1	Longview, Washington , United States
Win	2-1	Hannibal Adofo	KO (punch)	WEC 8	1	Lemoore, California, United States
Loss	1-1	JT Taylor	KO (punches)	WEC 7	2	Lemoore, California, United States
Win	1-0	Jon Henderson	TKO (punches)	Dangerzone-Dakota Destruction	1	New Town, North Dakota , United States
