Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Sep 30, 1962	Sahara Invitational	–14 (69-67-66-68=270)	3 strokes	Don January
Oct 28, 1962	Orange County Open Invitational	–17 (68-66-64-69=267)	Playoff	Bob Rosburg
Nov 18, 1962	Mobile Sertoma Open Invitational	–15 (67-68-68-70=273)	7 strokes	Doug Sanders
May 27, 1963	Memphis Open Invitational	–10 (67-67-68-68=270)	Playoff	Tommy Aaron
Jan 19, 1964	Bing Crosby National Pro-Am	–4 (70-68-70-76=284)	3 strokes	Gay Brewer , Bo Wininger
Jun 7, 1964	Thunderbird Classic	–12 (68-67-70-71=276)	1 stroke	Mike Souchak
Jun 14, 1964	Buick Open Invitational	–11 (69-66-72-70=277)	1 stroke	Dow Finsterwald
Jun 28, 1964	Cleveland Open	–14 (65-70-70-65=270)	Playoff	Arnold Palmer
Jul 10, 1964	The Open Championship	–9 (73-68-68-70=279)	5 strokes	Jack Nicklaus
Jun 6, 1965	Buick Open Invitational	–8 (71-70-69-70=280)	2 strokes	Johnny Pott
Aug 23, 1965	Carling World Open	–5 (71-71-67-70=279)	2 strokes	Arnold Palmer
May 29, 1966	Oklahoma City Open Invitational	–17 (69-68-69-65=271)	6 strokes	Tom Weiskopf
