Ship	Year	Dates	Line	From	Distance	Days, hours, minutes	Speed
New York	1823-4	16 Dec-1 Jan	Black Ball Line	New York	nautical miles (km)	15 d 16h	knots (km/h)
Great Western	1838	7 May–22 May	GW	New York	nautical miles (km)	14 d, 15 h, 59 m	knots (km/h)
Great Western	1838	25 June – 8 July	GW	New York	nautical miles (km)	12 d, 16 h, 34 m	knots (km/h)
Britannia	1841	4 – 14 August	Cunard	Halifax	nautical miles (km)	9 d, 21 h, 44 m	knots (km/h)
Great Western	1842	28 April–11 May	GW	New York	nautical miles (km)	12 d, 7 h, 30 m	knots (km/h)
Columbia	1843	4 – 14 April	Cunard	Halifax	nautical miles (km)	9 d, 12 h, 0 m	knots (km/h)
Hibernia	1843	18 May–27 May	Cunard	Halifax	nautical miles (km)	9 d, 10 h, 44 m	knots (km/h)
Hibernia	1843	18 – 27 July	Cunard	Halifax	nautical miles (km)	8 d, 22 h, 44 m	knots (km/h)
Canada	1849	19 – 28 July	Cunard	Halifax	nautical miles (km)	8 d, 12 h, 44 m	knots (km/h)
Pacific	1851	10 May–20 May	Collins	New York	nautical miles (km)	9 d, 20 h, 14 m	knots (km/h)
Arctic	1852	7 – 17 February	Collins	New York	nautical miles (km)	9 d, 17 h, 15 m	knots (km/h)
Persia	1856	2 – 12 April	Cunard	Sandy Hook	nautical miles (km)	9 d, 10 h, 22 m	knots (km/h)
Persia	1856	14 May–23 May	Cunard	Sandy Hook	nautical miles (km)	9 d, 3 h, 24 m	knots (km/h)
Persia	1856	6 – 15 August	Cunard	Sandy Hook	nautical miles (km)	8 d, 23 h, 19 m	knots (km/h)
Scotia	1863	16 – 24 December	Cunard	New York	nautical miles (km)	8 d, 5 h, 42 m	knots (km/h)
City of Brussels	1869	4 – 12 December	Inman	Sandy Hook	nautical miles (km)	7 d, 20 h, 33 m	knots (km/h)
Baltic	1873	11 – 19 January	W.Star	Sandy Hook	nautical miles (km)	7 d, 20 h, 9 m	knots (km/h)
City of Berlin	1875	2 – 10 October	Inman	Sandy Hook	nautical miles (km)	7 d, 15 h, 28 m	knots (km/h)
Germanic	1876	5 – 13 February	W.Star	Sandy Hook	nautical miles (km)	7 d, 15 h, 17 m	knots (km/h)
Britannic	1876	16 – 24 December	W.Star	Sandy Hook	nautical miles (km)	7 d, 12 h, 41 m	knots (km/h)
Arizona	1879	22 – 29 July	Guion	Sandy Hook	nautical miles (km)	7 d, 8 h, 11 m	knots (km/h)
Alaska	1882	30 May – 6 June	Guion	Sandy Hook	nautical miles (km)	6 d, 22 h, 0 m	knots (km/h)
Alaska	1882	12 – 19 September	Guion	Sandy Hook	nautical miles (km)	6 d, 18 h, 37 m	knots (km/h)
Oregon	1884	29 March – 5 April	Guion	Sandy Hook	nautical miles (km)	7 d, 2 h, 18 m	knots (km/h)
Oregon	1884	26 April–3 May	Guion	Sandy Hook	nautical miles (km)	6 d, 16 h, 57 m	knots (km/h)
Oregon	1884	30 July – 6 August	Cunard	Sandy Hook	nautical miles (km)	6 d, 12 h, 54 m	knots (km/h)
Oregon	1884	3 – 10 September	Cunard	Sandy Hook	nautical miles (km)	6 d, 11 h, 9 m	knots (km/h)
Etruria	1885	1 – 7 August	Cunard	Sandy Hook	nautical miles (km)	6 d, 9 h, 0 m	knots (km/h)
Etruria	1888	7 – 14 July	Cunard	Sandy Hook	nautical miles (km)	6 d, 4 h, 50 m	knots (km/h)
City of Paris	1889	15 May–22 May	Inman	Sandy Hook	nautical miles (km)	6 d, 0 h, 29 m	knots (km/h)
City of New York	1892	17 – 23 August	Inman	Sandy Hook	nautical miles (km)	5 d, 19 h, 57 m	knots (km/h)
Campania	1893	6 May–12 May	Cunard	Sandy Hook	nautical miles (km)	5 d, 17 h, 27 m	knots (km/h)
Lucania	1894	6 May–12 May	Cunard	Sandy Hook	nautical miles (km)	5 d, 13 h, 28 m	knots (km/h)
Lucania	1894	2 – 8 June	Cunard	Sandy Hook	nautical miles (km)	5 d, 12 h, 59 m	knots (km/h)
Lucania	1895	18 May–24 May	Cunard	Sandy Hook	nautical miles (km)	5 d, 11 h, 40 m	knots (km/h)
Kaiser Wilhelm der Grosse	1897	23 – 29 November	NDL	Sandy Hook	nautical miles (km)	5 d, 17 h, 23 m	knots (km/h)
Deutschland	1900	18 – 24 July	Hapag	Sandy Hook	nautical miles (km)	5 d, 15 h, 5 m	knots (km/h)
Deutschland	1900	4 – 10 September	Hapag	Sandy Hook	nautical miles (km)	5 d, 7 h, 38 m	knots (km/h)
Deutschland	1901	13 – 19 June	Hapag	Sandy Hook	nautical miles (km)	5 d, 11 h, 51 m	knots (km/h)
Deutschland	1901	10 – 17 July	Hapag	Sandy Hook	nautical miles (km)	5 d, 11 h, 5 m	knots (km/h)
Kaiser Wilhelm II	1904	14 – 20 June	NDL	Sandy Hook	nautical miles (km)	5 d, 11 h, 58 m	knots (km/h)
Lusitania	1907	19 – 24 October	Cunard	Sandy Hook	nautical miles (km)	4 d, 22 h, 53 m	knots (km/h)
Mauretania	1907	30 November – 5 December	Cunard	Beady Hook	nautical miles (km)	4 d, 22 h, 33 m	knots (km/h)
Mauretania	1908	25 – 30 January	Cunard	Sandy Hook	nautical miles (km)	5 d, 2 h, 41 m	knots (km/h)
