Date	Opponent	Site	Score	Loss	Attendance	Record
Tuesday, September 1	@ Philadelphia Phillies	Veterans Stadium	W, 4-0	Krukow (12-8)	24,788	75-58
Thursday, September 3	@ Montreal Expos	Olympic Stadium	W, 4-3	Lea (11-8)	28,065	76-58
Friday, September 4	@ Montreal Expos	Olympic Stadium	L, 1-4	Pérez (0-4)	32,526	76-59
Saturday, September 5	@ Montreal Expos	Olympic Stadium	L, 1-2	Garber (6-8)	56,807	76-60
Sunday, September 6	San Francisco Giants	Atlanta-Fulton County Stadium	L, 2-8	Moore (2-1)	9,051	76-61
Monday, September 7	San Francisco Giants	Atlanta-Fulton County Stadium	L, 2-3	Camp (11-8)	7,523	76-62
Tuesday, September 8	Los Angeles Dodgers	Atlanta-Fulton County Stadium	W, 12-11 (10 innings)	S. Howe (6-4)	24,853	77-62
Wednesday, September 9	Los Angeles Dodgers	Atlanta-Fulton County Stadium	W, 10-3	Valenzuela (17-12)	35,362	78-62
Thursday, September 10	Cincinnati Reds	Atlanta-Fulton County Stadium	W, 8-2	Shirley (6-12)	17,407	79-62
Friday, September 11	Cincinnati Reds	Atlanta-Fulton County Stadium	L, 3-4	T. Boggs (2-1)	20,966	79-63
Saturday, September 12	Cincinnati Reds	Atlanta-Fulton County Stadium	W, 4-3	Harris (2-6)	16,442	80-63
Sunday, September 13	Houston Astros	Atlanta-Fulton County Stadium	L, 3-5	P. Niekro (14-4)	7,556	80-64
Monday, September 14	Houston Astros	Atlanta-Fulton County Stadium	L, 0-4	R. Mahler (9-10)	9,331	80-65
Tuesday, September 15	Houston Astros	Atlanta-Fulton County Stadium	L, 4-5	T. Boggs (2-2)	11,422	80-66
Thursday, September 17	@ Cincinnati Reds	Riverfront Stadium	L, 2-5	Camp (11-9)	11,630	80-67
Friday, September 18	@ Cincinnati Reds	Riverfront Stadium	W, 5-4	Pastore (8-11)	14,121	81-67
Saturday, September 19	@ Cincinnati Reds	Riverfront Stadium	W, 6-1	Berenyi (8-18)	12,203	82-67
Sunday, September 20	@ Houston Astros	Astrodome	L, 3-4	Garber (7-9)	12,634	82-68
Monday, September 21	@ Houston Astros	Astrodome	L, 3-5	Camp (11-10)	15,374	82-69
Tuesday, September 22	@ Houston Astros	Astrodome	L, 2-3	Garber (7-10)	16,821	82-70
Thursday, September 24	San Diego Padres	Atlanta-Fulton County Stadium	W, 11-6	M. Griffin (0-1)	25,819	83-70
Friday, September 25	San Diego Padres	Atlanta-Fulton County Stadium	W, 12-6	Eichelberger (7-14)	36,037	84-70
Saturday, September 26	San Diego Padres	Atlanta-Fulton County Stadium	L, 2-3	Camp (11-11)	38,941	84-71
Sunday, September 27	@ San Francisco Giants	Candlestick Park	W, 7-0	R. Martin (7-9)	45,783	85-71
Monday, September 28	@ San Francisco Giants	Candlestick Park	W, 8-3	Laskey (13-12)	17,071	86-71
Tuesday, September 29	@ Los Angeles Dodgers	Dodgers Stadium	W, 4-3 (12 innings)	Forster (5-6)	45,757	87-71
Wednesday, September 30	@ Los Angeles Dodgers	Dodgers Stadium	L, 3-10	Camp (11-12)	49,926	87-72
