Province	South Asians 2001	% 2001	South Asians 2011	% 2011
Ontario	554,870	4.9%	1,003,180	7.9%
British Columbia	210,295	5.4%	311,265	7.2%
Alberta	69,580	2.4%	159,055	4.4%
Quebec	59,510	0.8%	91,400	1.2%
Manitoba	12,875	1.2%	26,220	2.2%
Saskatchewan	4,090	0.4%	12,620	1.3%
Nova Scotia	2,895	0.3%	5,935	0.7%
New Brunswick	1,415	0.2%	3,090	0.4%
Newfoundland and Labrador	1,010	0.2%	2,005	0.4%
Prince Edward Island	115	0.1%	500	0.4%
Yukon	205	0.7%	340	1.0%
Northwest Territories	190	0.5%	200	0.5%
Nunavut	30	0.1%	115	0.4%
Canada	917,075	3.1%	1,615,145	4.9%
