Season	Series	Team	Races	Wins	Podiums
1979	Formula Ford 1600 Germany	Walter Lechner Racing School	1	0	1
1980	Formula Ford 1600 Germany	Walter Lechner Racing School	12	8	9
1981	German Formula Three Championship	Bertram Schäfer Racing	9	3	6
1981	Formula Ford 1600 Germany	Walter Lechner Racing School	10	5	8
1981	Formula Ford 2000 Germany	Walter Lechner Racing School	2	0	0
1981	Formula Ford Festival	Walter Lechner Racing School	1	0	0
1981	VW Castrol Europa Pokal	Walter Lechner Racing School	3	1	2
1982	European Formula Two Championship	Maurer Motorsport	13	2	4
1982	World Endurance Championship	Kremer Racing	1	0	0
1982	Deutsche Rennsport Meisterschaft	Kremer Racing	1	0	0
1983	European Formula Two Championship	Maurer Motorsport	8	0	1
1983	World Endurance Championship	Rothmans Porsche	6	3	4
1983	European Endurance Championship	Rothmans Porsche	1	0	1
1983	All Japan Sports Prototype Championship	Rothmans Porsche	1	1	1
1983	Norisring Trophäe	Rothmans Porsche	1	1	1
1984	World Endurance Championship	Rothmans Porsche	9	6	6
1984	World Endurance Championship	Brun Motorsport	9	6	6
1984	Formula One	Tyrrell Racing Organisation	11	0	0
1984	All Japan Sports Prototype Championship	Rothmans Porsche	1	1	1
1984	Deutsche Rennsport Meisterschaft	Brun Motorsport	5	3	3
1984	Norisring Trophäe	Brun Motorsport	1	0	1
1985	World Endurance Championship	Brun Motorsport	4	0	1
1985	Deutsche Rennsport Meisterschaft	Brun Motorsport	1	1	1
1985	Norisring Trophäe	Brun Motorsport	1	0	0
1985	Formula One	Tyrrell Racing Organisation	9	0	0
