Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
44	February 2	New Jersey	W 104–32	M. Williams (24)	J. Smith (8)	A. Law (8)	Philips Arena 18,102	20–24
45	February 4	Philadelphia	W 96–91	J. Childress (21)	A. Horford (8)	J. Smith (9)	Philips Arena 14,563	21–24
46	February 6	LA Lakers	W 98–95	J. Johnson (28)	A. Horford (20)	J. Smith (9)	Philips Arena 19,701	22–24
47	February 8	Cleveland	L 100–95	J. Johnson (23)	J. Smith (8)	J. Johnson (8)	Philips Arena 19,335	22–25
48	February 9	@ Houston	L 108–89	J. Childress (21)	Z. Pachulia (9)	J. Johnson (4)	Toyota Center 18,177	22–26
49	February 12	Detroit	L 94–90	J. Smith (30)	A. Horford (16)	J. Johnson (4)	Philips Arena 18,227	22–27
50	February 13	@ Charlotte	L 100–98	J. Johnson (23)	A. Horford (14)	J. Johnson (4)	Charlotte Bobcats Arena 11,213	22–28
51	February 19	@ LA Lakers	L 122–93	J. Johnson (18)	Z. Pachulia (12)	J. Smith (6)	Staples Center 18,997	22–29
52	February 20	@ Sacramento	L 119–107	J. Childress (18)	A. Horford (12)	J. Johnson (4)	ARCO Arena 13,641	22–30
53	February 22	@ Golden State	W 117–110	J. Johnson (27)	M. Williams (14)	J. Johnson (8)	Oracle Arena 19,596	23–30
54	February 23	@ Utah	L 100–94	J. Smith (30)	J. Smith (12)	M. Bibby J. Johnson (9)	EnergySolutions Arena 19,911	23–31
55	February 25	@ San Antonio	L 89–74	J. Johnson (17)	A. Horford J. Smith (13)	M. Bibby J. Johnson (5)	AT&T Center 18,113	23–32
56	February 27	Sacramento	W 123–117	J. Johnson (26)	A. Horford (14)	M. Bibby (12)	Philips Arena 15,661	24–32
57	February 29	New York	W 99–93	J. Smith (25)	A. Horford (11)	M. Bibby (11)	Philips Arena 18,339	25–32
